cost_bps,new_admission_floor,proposals,safe_promotions,first_safe_promotion,unsafe_same_bar_promotions,safe_terminal_set,unsafe_terminal_set
2.0,10.0,77,1,2018-01-19,56,market_ew30,market_ew30|high_volatility_lb63_b3_monthly|high_volatility_lb21_b5_monthly|high_volatility_lb63_b5_monthly|high_volatility_lb252_b10_monthly|high_volatility_lb252_b3_monthly|time_series_momentum_lb126_monthly|cross_momentum_lb252_skip21_b3_weekly|time_series_momentum_lb252_monthly|cross_momentum_lb21_skip0_b5_monthly|cross_momentum_lb63_skip0_b10_monthly|cross_momentum_lb21_skip0_b3_monthly|time_series_momentum_lb21_monthly|cross_momentum_lb21_skip0_b10_monthly|time_series_momentum_lb63_monthly|time_series_momentum_lb126_weekly|cross_reversal_lb63_skip0_b5_weekly|high_volatility_lb126_b3_monthly|time_series_momentum_lb252_weekly|cross_reversal_lb126_skip0_b5_weekly|time_series_momentum_lb63_weekly|cross_momentum_lb63_skip0_b5_monthly|cross_momentum_lb63_skip0_b3_monthly|low_volatility_lb21_b3_monthly|low_volatility_lb21_b5_monthly|cross_reversal_lb21_skip0_b3_weekly|low_volatility_lb126_b3_monthly|low_volatility_lb63_b3_monthly|cross_momentum_lb252_skip21_b3_monthly|cross_momentum_lb126_skip0_b3_monthly|cross_momentum_lb252_skip21_b5_monthly|cross_momentum_lb252_skip21_b5_weekly|low_volatility_lb252_b3_monthly|low_volatility_lb63_b5_monthly|cross_momentum_lb63_skip0_b10_weekly|low_volatility_lb126_b5_monthly|low_volatility_lb252_b5_monthly|cross_momentum_lb63_skip0_b5_weekly|cross_momentum_lb63_skip0_b3_weekly|cross_momentum_lb126_skip0_b5_monthly|cross_momentum_lb252_skip21_b10_monthly|cross_momentum_lb126_skip0_b3_weekly|cross_momentum_lb126_skip0_b5_weekly|cross_momentum_lb126_skip0_b10_weekly|cross_momentum_lb126_skip0_b10_monthly|cross_momentum_lb252_skip21_b10_weekly|cross_reversal_lb21_skip0_b10_weekly|low_volatility_lb252_b10_monthly|low_volatility_lb63_b10_monthly|time_series_reversal_lb21_monthly|low_volatility_lb126_b10_monthly|low_volatility_lb21_b10_monthly|cross_momentum_lb21_skip0_b3_weekly|cross_momentum_lb21_skip0_b5_weekly|high_volatility_lb21_b3_monthly|cross_momentum_lb21_skip0_b10_weekly
5.0,10.0,77,1,2018-01-19,55,market_ew30,market_ew30|high_volatility_lb63_b3_monthly|high_volatility_lb21_b5_monthly|high_volatility_lb63_b5_monthly|high_volatility_lb252_b10_monthly|high_volatility_lb252_b3_monthly|time_series_momentum_lb126_monthly|cross_momentum_lb252_skip21_b3_weekly|time_series_momentum_lb252_monthly|cross_momentum_lb21_skip0_b5_monthly|cross_momentum_lb63_skip0_b10_monthly|cross_momentum_lb21_skip0_b3_monthly|time_series_momentum_lb21_monthly|cross_momentum_lb21_skip0_b10_monthly|time_series_momentum_lb63_monthly|time_series_momentum_lb126_weekly|cross_reversal_lb63_skip0_b5_weekly|high_volatility_lb126_b3_monthly|time_series_momentum_lb252_weekly|cross_reversal_lb126_skip0_b5_weekly|time_series_momentum_lb63_weekly|cross_momentum_lb63_skip0_b5_monthly|cross_momentum_lb63_skip0_b3_monthly|low_volatility_lb21_b3_monthly|low_volatility_lb21_b5_monthly|cross_reversal_lb21_skip0_b3_weekly|low_volatility_lb126_b3_monthly|low_volatility_lb63_b3_monthly|cross_momentum_lb252_skip21_b3_monthly|cross_momentum_lb126_skip0_b3_monthly|cross_momentum_lb252_skip21_b5_monthly|cross_momentum_lb252_skip21_b5_weekly|low_volatility_lb252_b3_monthly|low_volatility_lb63_b5_monthly|cross_momentum_lb63_skip0_b10_weekly|low_volatility_lb126_b5_monthly|low_volatility_lb252_b5_monthly|cross_momentum_lb63_skip0_b5_weekly|cross_momentum_lb63_skip0_b3_weekly|cross_momentum_lb126_skip0_b5_monthly|cross_momentum_lb252_skip21_b10_monthly|cross_momentum_lb126_skip0_b3_weekly|cross_momentum_lb126_skip0_b5_weekly|cross_momentum_lb126_skip0_b10_weekly|cross_momentum_lb126_skip0_b10_monthly|cross_momentum_lb252_skip21_b10_weekly|cross_reversal_lb21_skip0_b10_weekly|low_volatility_lb252_b10_monthly|low_volatility_lb63_b10_monthly|time_series_reversal_lb21_monthly|low_volatility_lb126_b10_monthly|low_volatility_lb21_b10_monthly|cross_momentum_lb21_skip0_b3_weekly|cross_momentum_lb21_skip0_b5_weekly|cross_momentum_lb21_skip0_b10_weekly
10.0,10.0,77,1,2018-01-26,55,market_ew30,market_ew30|high_volatility_lb63_b3_monthly|high_volatility_lb21_b5_monthly|high_volatility_lb63_b5_monthly|high_volatility_lb252_b10_monthly|high_volatility_lb252_b3_monthly|time_series_momentum_lb126_monthly|cross_momentum_lb252_skip21_b3_weekly|time_series_momentum_lb252_monthly|cross_momentum_lb21_skip0_b5_monthly|cross_momentum_lb63_skip0_b10_monthly|cross_momentum_lb21_skip0_b3_monthly|time_series_momentum_lb21_monthly|cross_momentum_lb21_skip0_b10_monthly|time_series_momentum_lb63_monthly|time_series_momentum_lb126_weekly|cross_reversal_lb63_skip0_b5_weekly|high_volatility_lb126_b3_monthly|time_series_momentum_lb252_weekly|cross_reversal_lb126_skip0_b5_weekly|time_series_momentum_lb63_weekly|cross_momentum_lb63_skip0_b5_monthly|cross_momentum_lb63_skip0_b3_monthly|low_volatility_lb21_b3_monthly|low_volatility_lb21_b5_monthly|cross_reversal_lb21_skip0_b3_weekly|low_volatility_lb126_b3_monthly|low_volatility_lb63_b3_monthly|cross_momentum_lb252_skip21_b3_monthly|cross_momentum_lb126_skip0_b3_monthly|cross_momentum_lb252_skip21_b5_monthly|cross_momentum_lb252_skip21_b5_weekly|low_volatility_lb252_b3_monthly|low_volatility_lb63_b5_monthly|cross_momentum_lb63_skip0_b10_weekly|low_volatility_lb126_b5_monthly|low_volatility_lb252_b5_monthly|cross_momentum_lb63_skip0_b5_weekly|cross_momentum_lb63_skip0_b3_weekly|cross_momentum_lb126_skip0_b5_monthly|cross_momentum_lb252_skip21_b10_monthly|cross_momentum_lb126_skip0_b3_weekly|cross_momentum_lb126_skip0_b5_weekly|cross_momentum_lb126_skip0_b10_weekly|cross_momentum_lb126_skip0_b10_monthly|cross_momentum_lb252_skip21_b10_weekly|cross_reversal_lb21_skip0_b10_weekly|low_volatility_lb252_b10_monthly|low_volatility_lb63_b10_monthly|time_series_reversal_lb21_monthly|low_volatility_lb126_b10_monthly|low_volatility_lb21_b10_monthly|cross_momentum_lb21_skip0_b3_weekly|cross_momentum_lb21_skip0_b5_weekly|cross_momentum_lb21_skip0_b10_weekly
