model,dependent_variable,sample_start,sample_end,observations,hac_lags,alpha_daily,alpha_annualized,alpha_hac_se_daily,alpha_hac_t,alpha_hac_p_two_sided,r_squared,beta_mkt_rf,beta_mkt_rf_hac_se,beta_smb,beta_smb_hac_se,beta_hml,beta_hml_hac_se,beta_rmw,beta_rmw_hac_se,beta_cma,beta_cma_hac_se,beta_mom,beta_mom_hac_se
CAPM,2-bp net excess return of market_ew30,2018-01-22,2026-05-29,2100,5,-7.40548732227e-05,-0.0186618280521,8.86827708713e-05,-0.835053669333,0.403782570422,0.896847224739,0.940892772503,0.0131877783924,,,,,,,,,,
FF5+Mom,2-bp net excess return of market_ew30,2018-01-22,2026-05-29,2100,5,-4.19420634756e-05,-0.0105693999959,5.45685696945e-05,-0.76861210969,0.442210330372,0.959136896591,0.947612453876,0.00734009215419,0.219418626253,0.0121148649648,0.157512184609,0.0125885741146,0.0832009842182,0.0124331722866,0.110037668644,0.0227961557021,-0.0406383950836,0.00798632692776
