design,method,seed,false_discoveries,any_false,first_day
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271871,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271872,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271872,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271873,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271873,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271874,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271874,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271875,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271875,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271876,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271876,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271877,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271877,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271878,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271878,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271879,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271879,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271880,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271880,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271881,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271881,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271882,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271882,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271883,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271883,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271884,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271884,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271885,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271885,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271886,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271886,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271887,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271887,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271888,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271888,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271889,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271889,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271890,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271890,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271891,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271891,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271892,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271892,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271893,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271893,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271894,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271894,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271895,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271895,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271896,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271896,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271897,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271897,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271898,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271898,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271899,0,0,-1
