seed,safe_count,leakage_count,sequential_count,holdout_count,safe_first_day,leakage_first_day,sequential_first_day,holdout_first_day
271980,0,59,26,5,-1,306,421,441
271981,0,61,39,5,-1,301,126,696
271982,0,60,31,3,-1,271,146,2081
271983,0,62,29,4,-1,266,846,2711
271984,0,61,13,1,-1,251,896,4161
271985,0,64,24,2,-1,216,126,4286
271986,0,62,21,1,-1,256,446,571
271987,0,51,18,6,-1,186,246,571
271988,0,61,24,7,-1,246,576,696
271989,0,66,16,1,-1,311,441,3591
271990,0,64,30,3,-1,236,281,441
271991,0,63,23,2,-1,301,196,1201
271992,0,64,23,5,-1,166,631,821
271993,0,57,25,1,-1,361,261,3026
271994,0,60,8,1,-1,246,211,3216
271995,0,56,13,2,-1,216,191,381
271996,0,66,17,1,-1,271,781,2331
271997,0,66,24,2,-1,211,256,1261
271998,0,61,29,12,-1,251,296,441
271999,0,65,13,3,-1,306,441,2776
272000,0,70,15,3,-1,336,796,1891
272001,0,65,34,4,-1,191,391,3656
272002,0,63,26,4,-1,171,76,316
272003,0,57,14,1,-1,171,506,1891
272004,0,60,27,7,-1,306,66,631
272005,0,60,9,0,-1,261,721,-1
272006,0,62,19,2,-1,301,936,2461
272007,0,69,25,2,-1,211,571,1011
272008,0,59,33,4,-1,181,891,1516
272009,0,59,23,3,-1,176,101,256
272010,0,61,23,3,-1,266,546,1766
272011,0,67,10,0,-1,226,441,-1
272012,0,61,12,1,-1,146,216,2331
272013,0,67,33,6,-1,261,141,821
272014,0,66,37,12,-1,261,241,256
272015,0,70,21,8,-1,216,366,821
272016,0,62,32,9,-1,206,111,886
272017,0,58,18,2,-1,231,596,1201
272018,0,67,24,8,-1,131,381,1011
272019,0,65,17,2,-1,321,371,3216
272020,0,68,31,3,-1,311,366,3721
272021,0,64,36,5,-1,326,711,1136
272022,0,68,21,1,-1,261,401,4726
272023,0,60,20,3,-1,166,446,2081
272024,0,58,20,4,-1,301,361,506
272025,0,61,28,4,-1,261,386,2081
272026,0,62,28,4,-1,116,231,2461
272027,0,62,30,3,-1,111,66,1516
272028,0,64,20,2,-1,246,506,1641
272029,0,67,31,4,-1,141,406,2776
272030,0,65,41,3,-1,231,66,631
272031,0,62,15,3,-1,231,271,1136
272032,0,67,29,6,-1,261,621,886
272033,0,58,24,4,-1,296,191,381
272034,0,59,30,8,-1,131,106,256
272035,0,70,24,3,-1,266,391,2146
272036,0,64,10,0,-1,306,616,-1
272037,0,68,21,4,-1,196,151,2081
272038,0,66,16,1,-1,216,131,2396
272039,0,69,22,0,-1,231,126,-1
272040,0,66,28,5,-1,181,751,756
272041,0,60,22,2,-1,221,141,256
272042,0,62,32,3,-1,201,351,441
272043,0,69,22,4,-1,241,256,821
272044,0,66,22,1,-1,216,191,4096
272045,0,67,21,3,-1,261,381,441
272046,0,64,24,0,-1,246,766,-1
272047,0,60,32,5,-1,296,316,2146
272048,0,57,29,3,-1,271,191,1011
272049,0,70,19,4,-1,291,1526,2016
272050,0,65,20,2,-1,216,456,756
272051,0,55,18,2,-1,231,156,1201
272052,0,59,30,4,-1,271,1016,2711
272053,0,60,14,1,-1,261,106,2271
272054,0,65,10,0,-1,176,1716,-1
272055,1,68,25,3,546,131,126,256
272056,0,51,40,4,-1,296,766,1701
272057,0,65,41,8,-1,261,316,2836
272058,0,71,28,3,-1,166,1401,1576
272059,0,71,25,1,-1,231,821,3656
272060,0,69,14,1,-1,196,1046,4096
272061,0,69,21,1,-1,331,256,441
272062,0,68,20,3,-1,146,111,256
272063,0,62,22,1,-1,316,996,2146
272064,0,59,25,5,-1,181,776,1576
272065,0,65,17,2,-1,226,306,381
272066,0,57,20,4,-1,361,126,821
272067,0,61,24,2,-1,186,211,1011
272068,0,56,17,3,-1,261,821,2776
272069,0,65,38,5,-1,276,71,2016
272070,0,68,15,1,-1,206,256,4791
272071,0,69,22,1,-1,266,406,4286
272072,0,60,15,1,-1,221,126,1011
272073,0,72,24,3,-1,266,321,3341
272074,0,65,13,1,-1,241,331,2146
272075,0,68,31,7,-1,221,131,1641
272076,1,53,26,5,1336,236,191,381
272077,0,71,21,8,-1,226,206,886
272078,0,66,25,5,-1,291,486,1071
272079,0,69,25,6,-1,206,66,256
272080,0,67,12,2,-1,246,866,3906
272081,0,67,28,4,-1,306,386,631
272082,3,69,32,4,2346,186,71,946
272083,0,63,25,5,-1,316,216,2206
272084,0,67,22,2,-1,226,1021,2271
272085,0,64,21,2,-1,301,386,756
272086,1,61,30,5,3301,231,66,946
272087,0,64,18,6,-1,186,441,441
272088,0,62,24,3,-1,206,441,1956
272089,0,67,12,4,-1,261,141,256
272090,0,56,32,4,-1,276,166,1326
272091,0,59,25,1,-1,266,826,4601
272092,0,63,34,8,-1,206,336,571
272093,0,67,24,2,-1,356,821,2586
272094,0,69,6,1,-1,181,1436,1516
272095,6,64,31,8,3996,196,91,1071
272096,0,62,25,5,-1,251,441,2836
272097,0,66,18,3,-1,141,191,256
272098,0,53,21,1,-1,301,721,2081
272099,0,59,33,3,-1,406,441,2901
272100,0,68,14,0,-1,271,131,-1
272101,0,68,21,4,-1,281,296,886
272102,0,69,19,3,-1,171,131,756
272103,0,63,24,2,-1,246,421,1136
272104,0,68,24,3,-1,196,226,256
272105,1,63,40,9,2176,156,86,1956
272106,0,58,21,3,-1,246,66,821
272107,0,65,15,4,-1,306,576,696
272108,0,56,25,4,-1,186,211,3091
272109,0,67,31,10,-1,236,571,1641
272110,0,67,18,2,-1,291,191,3656
272111,0,64,24,6,-1,201,516,571
272112,0,61,24,1,-1,221,126,696
272113,0,62,26,5,-1,291,146,256
272114,0,61,22,1,-1,231,66,3781
272115,6,63,44,13,1671,171,151,316
272116,0,57,22,4,-1,221,841,1641
272117,0,68,37,5,-1,216,66,696
272118,0,71,19,3,-1,301,436,2461
272119,0,58,17,1,-1,246,696,1831
272120,0,70,43,8,-1,276,256,441
272121,0,57,33,3,-1,221,386,3091
272122,0,45,40,8,-1,221,581,1136
272123,0,62,22,5,-1,296,446,2586
272124,0,69,29,8,-1,331,531,1011
272125,0,63,20,1,-1,291,206,4161
272126,1,69,34,8,1741,231,266,631
272127,0,58,23,2,-1,196,1516,1701
272128,0,67,20,4,-1,276,506,506
272129,0,61,36,4,-1,261,66,3216
272130,0,63,24,1,-1,251,1161,3721
272131,0,52,35,5,-1,371,71,571
272132,0,64,29,6,-1,296,266,886
272133,0,58,18,4,-1,226,256,1011
272134,0,70,16,4,-1,281,256,381
272135,0,62,9,0,-1,246,866,-1
272136,0,65,16,2,-1,336,441,441
272137,0,62,16,1,-1,301,316,506
272138,0,65,18,2,-1,256,971,3341
272139,0,66,23,6,-1,336,256,946
272140,0,62,26,1,-1,266,66,1451
272141,0,69,29,2,-1,201,831,2586
272142,0,65,23,4,-1,166,131,1701
272143,0,62,11,0,-1,241,111,-1
272144,0,62,25,4,-1,181,446,571
272145,0,62,18,2,-1,286,256,571
272146,0,71,21,5,-1,241,131,631
272147,0,66,25,3,-1,231,381,1831
272148,0,59,32,5,-1,211,836,1516
272149,0,61,26,2,-1,301,126,2206
272150,0,57,26,5,-1,221,191,1576
272151,0,66,10,2,-1,196,1106,1136
272152,0,68,32,6,-1,306,846,1451
272153,0,65,27,4,-1,231,191,3906
272154,0,68,27,6,-1,211,66,756
272155,0,57,21,6,-1,351,651,1956
272156,0,54,14,2,-1,196,296,1831
272157,0,57,34,7,-1,296,461,1516
272158,0,61,13,2,-1,226,126,756
272159,0,59,14,2,-1,261,291,756
272160,0,63,22,2,-1,301,146,256
272161,0,62,33,3,-1,216,596,631
272162,0,63,38,5,-1,141,261,1831
272163,0,65,19,6,-1,106,96,256
272164,0,63,25,3,-1,256,261,3531
272165,0,59,18,2,-1,311,546,3781
272166,0,63,20,2,-1,241,696,886
272167,0,66,20,2,-1,241,296,1891
272168,0,61,21,2,-1,266,586,3276
272169,0,68,19,3,-1,261,771,2081
272170,0,64,21,4,-1,276,311,506
272171,0,63,28,5,-1,211,1156,1386
272172,0,63,15,6,-1,166,126,316
272173,0,66,22,3,-1,246,421,2016
272174,0,68,29,5,-1,256,131,2081
272175,0,64,18,7,-1,201,191,381
272176,0,66,17,1,-1,216,756,3151
272177,0,73,28,4,-1,156,841,1326
272178,0,60,23,6,-1,211,191,381
272179,2,60,27,3,4566,156,91,316
272180,0,63,24,5,-1,211,386,1516
272181,0,58,15,0,-1,261,511,-1
272182,0,64,21,4,-1,171,656,886
272183,0,69,18,5,-1,216,76,886
272184,0,58,24,1,-1,251,256,1956
272185,0,69,15,3,-1,276,886,1011
272186,0,68,24,8,-1,366,256,571
272187,0,62,12,1,-1,296,316,4791
272188,0,52,29,1,-1,256,1041,2961
272189,4,65,28,10,1706,201,311,316
272190,0,63,18,3,-1,296,91,1891
272191,0,72,32,7,-1,216,1136,1326
272192,0,64,19,6,-1,266,516,886
272193,0,61,19,3,-1,216,231,1576
272194,0,69,25,4,-1,311,191,256
272195,0,67,15,2,-1,351,826,886
272196,0,56,15,1,-1,296,1076,1136
272197,0,62,26,6,-1,261,886,1831
272198,0,64,10,0,-1,191,416,-1
272199,0,58,22,4,-1,281,511,1641
272200,0,58,15,1,-1,366,761,4286
272201,0,63,14,3,-1,296,491,1891
272202,0,67,12,3,-1,231,256,821
272203,0,69,24,4,-1,316,141,4286
272204,0,62,29,6,-1,281,966,2016
272205,0,66,18,4,-1,206,641,756
272206,0,66,38,12,-1,221,366,821
272207,0,61,15,0,-1,201,476,-1
272208,0,69,28,7,-1,256,251,316
272209,0,67,18,4,-1,316,441,1326
272210,0,68,14,2,-1,446,141,2081
272211,0,59,27,7,-1,216,241,2901
272212,0,67,26,4,-1,216,781,3341
272213,0,67,14,2,-1,171,141,571
272214,0,59,17,5,-1,226,166,1641
272215,0,55,35,10,-1,171,361,381
272216,0,60,32,6,-1,301,466,1136
272217,0,59,30,5,-1,236,826,3971
272218,0,62,28,4,-1,286,336,506
272219,0,61,19,4,-1,241,396,1071
272220,0,57,36,3,-1,256,126,1071
272221,0,62,21,3,-1,286,691,2206
272222,0,61,23,9,-1,271,391,441
272223,0,60,16,1,-1,176,266,756
272224,0,52,29,3,-1,221,1666,2586
272225,0,60,17,2,-1,266,601,3971
272226,0,61,24,3,-1,176,156,1516
272227,0,66,21,4,-1,176,261,2396
272228,0,51,31,4,-1,271,221,381
272229,0,67,30,4,-1,161,696,1136
272230,0,49,38,6,-1,221,1291,1451
272231,0,58,14,2,-1,346,506,1011
272232,0,55,31,6,-1,356,2636,2646
272233,0,63,16,1,-1,271,126,2461
272234,0,66,24,3,-1,206,136,2081
272235,0,53,34,5,-1,121,446,1576
272236,0,69,17,2,-1,301,601,1071
272237,0,66,18,1,-1,266,66,4601
272238,0,66,15,1,-1,146,66,381
272239,0,63,26,2,-1,231,1911,2016
272240,0,72,33,6,-1,376,411,756
272241,0,58,15,2,-1,166,926,4161
272242,0,66,29,6,-1,331,66,256
272243,0,62,18,6,-1,381,711,1891
272244,0,60,22,1,-1,151,201,3216
272245,0,67,21,5,-1,351,191,2081
272246,0,61,20,3,-1,226,141,316
272247,0,65,20,3,-1,271,316,1011
272248,0,67,21,2,-1,221,126,4411
272249,0,59,38,4,-1,171,486,2146
272250,0,62,35,5,-1,211,81,571
272251,0,64,22,8,-1,216,206,571
272252,0,57,34,5,-1,276,396,2461
272253,0,60,38,8,-1,196,131,256
272254,0,64,18,5,-1,211,1071,1766
272255,0,60,35,4,-1,251,256,2081
272256,0,60,26,4,-1,311,1376,1516
272257,0,58,27,2,-1,251,231,2646
272258,0,62,26,3,-1,276,221,1766
272259,0,64,16,4,-1,186,316,316
272260,0,55,22,0,-1,191,126,-1
272261,0,69,21,1,-1,216,316,4351
272262,0,57,39,4,-1,241,586,696
272263,0,66,6,0,-1,176,1041,-1
272264,0,57,22,4,-1,211,66,1136
272265,0,65,31,11,-1,226,221,381
272266,0,54,16,2,-1,211,66,256
272267,0,69,24,2,-1,396,831,4036
272268,0,56,34,0,-1,286,426,-1
272269,0,64,25,5,-1,141,431,441
272270,0,69,26,7,-1,281,741,821
272271,0,68,6,0,-1,241,441,-1
272272,0,62,22,5,-1,221,856,946
272273,0,62,28,4,-1,261,266,441
272274,0,68,21,3,-1,261,136,2961
272275,0,59,37,5,-1,256,191,1451
272276,0,72,11,0,-1,251,441,-1
272277,0,63,21,6,-1,306,466,2646
272278,0,60,39,7,-1,236,76,381
272279,0,66,14,3,-1,131,896,2081
272280,0,60,20,6,-1,361,811,821
272281,1,64,31,7,3146,291,146,256
272282,0,61,32,6,-1,191,316,506
272283,0,60,29,3,-1,241,261,1326
272284,0,70,21,3,-1,306,726,2016
272285,0,67,17,3,-1,161,191,256
272286,0,62,26,8,-1,306,351,506
272287,0,60,26,2,-1,216,131,3721
272288,0,62,26,7,-1,191,571,756
272289,0,67,28,5,-1,241,201,946
272290,0,69,18,3,-1,361,1236,1891
272291,0,63,33,7,-1,251,411,821
272292,0,67,20,2,-1,281,161,886
272293,0,62,16,3,-1,171,1056,1136
272294,0,60,15,3,-1,256,651,756
272295,0,65,14,3,-1,271,386,441
272296,0,55,19,6,-1,306,66,441
272297,0,65,24,4,-1,231,341,381
272298,0,68,22,5,-1,291,1226,2081
272299,0,66,16,4,-1,321,2331,2396
272300,0,63,21,4,-1,256,256,441
272301,0,65,14,1,-1,161,161,1956
272302,0,67,25,6,-1,191,81,256
272303,0,63,30,7,-1,201,191,1576
272304,0,62,17,1,-1,271,151,2396
272305,0,57,22,0,-1,241,301,-1
272306,0,65,15,2,-1,336,631,821
272307,0,61,18,2,-1,221,276,1136
272308,0,55,28,4,-1,176,1216,2461
272309,0,56,32,5,-1,261,226,2901
272310,0,56,22,2,-1,261,536,631
272311,0,59,27,6,-1,231,126,316
272312,0,66,17,2,-1,351,586,756
272313,0,65,36,9,-1,266,101,886
272314,0,67,26,4,-1,171,491,571
272315,0,61,26,7,-1,231,126,571
272316,0,65,25,3,-1,251,396,1201
272317,0,63,20,3,-1,291,1326,1451
272318,0,66,15,2,-1,271,1961,2646
272319,0,63,11,3,-1,241,66,256
272320,0,60,32,4,-1,201,256,2206
272321,0,64,17,0,-1,311,261,-1
272322,0,64,17,0,-1,236,866,-1
272323,0,62,28,8,-1,256,441,441
272324,0,56,27,2,-1,186,111,1386
272325,0,61,21,2,-1,261,926,1831
272326,0,57,35,5,-1,336,631,821
272327,2,62,36,11,1706,141,446,821
