design,method,false_discovery_probability,ci_low,ci_high,mean_false_discoveries,median_first_day_if_any,repetitions
anchored75-fixed-daily,Persistent weighted e-BH,0.024,0.013781177149521824,0.04147745969189818,0.07,2110.0,500
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.022,0.01232788016714588,0.03896125514839773,0.036,2047.0,500
