annual_sharpe,correlation,metric,archived_value,matched_run_value,absolute_difference
0.5,0,mean_power,0.0156501831501831,0.015650183150183149,4.8572257327350599e-17
0.5,0,mean_end_to_end_power,0.01375,0.01375,0
0.5,0,mean_proposal_recall,0.86150000000000004,0.86150000000000004,0
0.5,0,mean_discoveries,0.23999999999999999,0.23999999999999999,0
0.5,0,mean_delay_days,591.5612244897959,591.5612244897959,0
0.5,0,mean_fdp,0.016,0.016,0
1,0,mean_power,0.13269542124542119,0.13144542124542125,0.0012499999999999456
1,0,mean_end_to_end_power,0.1285,0.12725,0.0012500000000000011
1,0,mean_proposal_recall,0.96525000000000005,0.96525000000000005,0
1,0,mean_discoveries,2.0680000000000001,2.048,0.020000000000000018
1,0,mean_delay_days,710.24566782810678,709.83875725900123,0.40691056910554835
1,0,mean_fdp,0.0053333333333333002,0.0053333333333333332,3.2959746043559335e-17
1.5,0,mean_power,0.54428333333333334,0.53974999999999995,0.0045333333333333892
1.5,0,mean_end_to_end_power,0.54149999999999998,0.53700000000000003,0.0044999999999999485
1.5,0,mean_proposal_recall,0.995,0.995,0
1.5,0,mean_discoveries,8.6799999999999997,8.6080000000000005,0.071999999999999176
1.5,0,mean_delay_days,675.27745094905094,675.58267955377949,0.30522860472854063
1.5,0,mean_fdp,0.0014969696969696,0.0014969696969696971,9.7144514654701197e-17
2,0,mean_power,0.88500000000000001,0.88324999999999998,0.0017500000000000293
2,0,mean_end_to_end_power,0.88475000000000004,0.88300000000000001,0.0017500000000000293
2,0,mean_proposal_recall,0.99975000000000003,0.99975000000000003,0
2,0,mean_discoveries,14.164,14.135999999999999,0.028000000000000469
2,0,mean_delay_days,526.73615911310912,528.52126104451099,1.7851019314018686
2,0,mean_fdp,0.00048529411764699999,0.00048529411764705881,5.8817967857338616e-17
3,0,mean_power,0.99924999999999997,0.99924999999999997,0
3,0,mean_end_to_end_power,0.99924999999999997,0.99924999999999997,0
3,0,mean_proposal_recall,1,1,0
3,0,mean_discoveries,15.988,15.988,0
3,0,mean_delay_days,289.44450000000001,290.60449999999997,1.1599999999999682
3,0,mean_fdp,0,0,0
0.5,0.5,mean_power,0.019217116217116199,0.019217116217116217,1.7347234759768071e-17
0.5,0.5,mean_end_to_end_power,0.017500000000000002,0.017500000000000002,0
0.5,0.5,mean_proposal_recall,0.91174999999999995,0.91174999999999995,0
0.5,0.5,mean_discoveries,0.32000000000000001,0.32000000000000001,0
0.5,0.5,mean_delay_days,673.31140350877195,674.71491228070181,1.4035087719298645
0.5,0.5,mean_fdp,0.014571428571428501,0.014571428571428572,7.1123662515049091e-17
1,0.5,mean_power,0.1878999999999999,0.18440000000000001,0.0034999999999998921
1,0.5,mean_end_to_end_power,0.18675,0.18325,0.0035000000000000031
1,0.5,mean_proposal_recall,0.99424999999999997,0.99424999999999997,0
1,0.5,mean_discoveries,3.008,2.952,0.05600000000000005
1,0.5,mean_delay_days,730.79995006656691,728.94021189653722,1.8597381700296864
1,0.5,mean_fdp,0.0018158730158729999,0.0018158730158730158,1.5829351718288365e-17
1.5,0.5,mean_power,0.57925000000000004,0.57750000000000001,0.0017500000000000293
1.5,0.5,mean_end_to_end_power,0.57925000000000004,0.57750000000000001,0.0017500000000000293
1.5,0.5,mean_proposal_recall,1,1,0
1.5,0.5,mean_discoveries,9.2680000000000007,9.2400000000000002,0.028000000000000469
1.5,0.5,mean_delay_days,679.80829893820589,684.11826006867329,4.3099611304673999
1.5,0.5,mean_fdp,0,0,0
2,0.5,mean_power,0.88700000000000001,0.88475000000000004,0.0022499999999999742
2,0.5,mean_end_to_end_power,0.88700000000000001,0.88475000000000004,0.0022499999999999742
2,0.5,mean_proposal_recall,1,1,0
2,0.5,mean_discoveries,14.196,14.16,0.035999999999999588
2,0.5,mean_delay_days,557.31803330003333,558.57648060273061,1.2584473026972773
2,0.5,mean_fdp,0.00023529411764700001,0.00023529411764705883,5.8817967857338616e-17
3,0.5,mean_power,0.99975000000000003,0.99975000000000003,0
3,0.5,mean_end_to_end_power,0.99975000000000003,0.99975000000000003,0
3,0.5,mean_proposal_recall,1,1,0
3,0.5,mean_discoveries,16.004000000000001,16.004000000000001,0
3,0.5,mean_delay_days,295.90741666666662,296.75866666666667,0.85125000000005002
3,0.5,mean_fdp,0.00044444444444440001,0.00044444444444444441,4.4398078963281407e-17
