method,false_discovery_probability,ci_low,ci_high,mean_false_discoveries,repetitions
Final persistent weighted e-BH,0.02,0.010899065235569357,0.03642056855409787,0.028,500
Proposal e-alpha-spending (FWER),0.02,0.010899065235569357,0.03642056855409787,0.022,500
