design,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,52001040,6-10,5,5
telescoping-fixed,52001040,11-20,6,6
telescoping-fixed,52001040,21-35,0,0
telescoping-fixed,52001040,36-50,0,0
campaign75-fixed-daily,52001040,1-5,5,5
campaign75-fixed-daily,52001040,6-10,5,5
campaign75-fixed-daily,52001040,11-20,6,6
campaign75-fixed-daily,52001040,21-35,0,0
campaign75-fixed-daily,52001040,36-50,0,0
campaign75-geometric-daily,52001040,1-5,5,5
campaign75-geometric-daily,52001040,6-10,5,5
campaign75-geometric-daily,52001040,11-20,6,6
campaign75-geometric-daily,52001040,21-35,0,0
campaign75-geometric-daily,52001040,36-50,0,0
telescoping-fixed,52001041,1-5,5,5
telescoping-fixed,52001041,6-10,5,5
telescoping-fixed,52001041,11-20,5,3
telescoping-fixed,52001041,21-35,1,0
telescoping-fixed,52001041,36-50,0,0
campaign75-fixed-daily,52001041,1-5,5,5
campaign75-fixed-daily,52001041,6-10,5,5
campaign75-fixed-daily,52001041,11-20,5,4
campaign75-fixed-daily,52001041,21-35,1,0
campaign75-fixed-daily,52001041,36-50,0,0
campaign75-geometric-daily,52001041,1-5,5,5
campaign75-geometric-daily,52001041,6-10,5,5
campaign75-geometric-daily,52001041,11-20,5,4
campaign75-geometric-daily,52001041,21-35,1,1
campaign75-geometric-daily,52001041,36-50,0,0
telescoping-fixed,52001042,1-5,5,3
telescoping-fixed,52001042,6-10,5,2
telescoping-fixed,52001042,11-20,5,1
telescoping-fixed,52001042,21-35,1,0
telescoping-fixed,52001042,36-50,0,0
campaign75-fixed-daily,52001042,1-5,5,3
campaign75-fixed-daily,52001042,6-10,5,3
campaign75-fixed-daily,52001042,11-20,5,3
campaign75-fixed-daily,52001042,21-35,1,0
campaign75-fixed-daily,52001042,36-50,0,0
campaign75-geometric-daily,52001042,1-5,5,2
campaign75-geometric-daily,52001042,6-10,5,3
campaign75-geometric-daily,52001042,11-20,5,3
campaign75-geometric-daily,52001042,21-35,1,0
campaign75-geometric-daily,52001042,36-50,0,0
telescoping-fixed,52001043,1-5,5,0
telescoping-fixed,52001043,6-10,5,0
telescoping-fixed,52001043,11-20,6,0
telescoping-fixed,52001043,21-35,0,0
telescoping-fixed,52001043,36-50,0,0
campaign75-fixed-daily,52001043,1-5,5,0
campaign75-fixed-daily,52001043,6-10,5,0
campaign75-fixed-daily,52001043,11-20,6,0
campaign75-fixed-daily,52001043,21-35,0,0
campaign75-fixed-daily,52001043,36-50,0,0
campaign75-geometric-daily,52001043,1-5,5,0
campaign75-geometric-daily,52001043,6-10,5,0
campaign75-geometric-daily,52001043,11-20,6,0
campaign75-geometric-daily,52001043,21-35,0,0
campaign75-geometric-daily,52001043,36-50,0,0
telescoping-fixed,52001044,1-5,5,5
telescoping-fixed,52001044,6-10,5,4
telescoping-fixed,52001044,11-20,5,3
telescoping-fixed,52001044,21-35,1,1
telescoping-fixed,52001044,36-50,0,0
campaign75-fixed-daily,52001044,1-5,5,5
campaign75-fixed-daily,52001044,6-10,5,4
campaign75-fixed-daily,52001044,11-20,5,4
campaign75-fixed-daily,52001044,21-35,1,1
campaign75-fixed-daily,52001044,36-50,0,0
campaign75-geometric-daily,52001044,1-5,5,5
campaign75-geometric-daily,52001044,6-10,5,4
campaign75-geometric-daily,52001044,11-20,5,4
campaign75-geometric-daily,52001044,21-35,1,1
campaign75-geometric-daily,52001044,36-50,0,0
telescoping-fixed,52001045,1-5,5,4
telescoping-fixed,52001045,6-10,5,4
telescoping-fixed,52001045,11-20,6,1
telescoping-fixed,52001045,21-35,0,0
telescoping-fixed,52001045,36-50,0,0
campaign75-fixed-daily,52001045,1-5,5,4
campaign75-fixed-daily,52001045,6-10,5,4
campaign75-fixed-daily,52001045,11-20,6,4
campaign75-fixed-daily,52001045,21-35,0,0
campaign75-fixed-daily,52001045,36-50,0,0
campaign75-geometric-daily,52001045,1-5,5,4
campaign75-geometric-daily,52001045,6-10,5,4
campaign75-geometric-daily,52001045,11-20,6,6
campaign75-geometric-daily,52001045,21-35,0,0
campaign75-geometric-daily,52001045,36-50,0,0
telescoping-fixed,52001046,1-5,5,0
telescoping-fixed,52001046,6-10,5,0
telescoping-fixed,52001046,11-20,5,0
telescoping-fixed,52001046,21-35,1,0
telescoping-fixed,52001046,36-50,0,0
campaign75-fixed-daily,52001046,1-5,5,0
campaign75-fixed-daily,52001046,6-10,5,0
campaign75-fixed-daily,52001046,11-20,5,0
campaign75-fixed-daily,52001046,21-35,1,0
campaign75-fixed-daily,52001046,36-50,0,0
campaign75-geometric-daily,52001046,1-5,5,0
campaign75-geometric-daily,52001046,6-10,5,0
campaign75-geometric-daily,52001046,11-20,5,0
campaign75-geometric-daily,52001046,21-35,1,0
campaign75-geometric-daily,52001046,36-50,0,0
telescoping-fixed,52001047,1-5,4,4
telescoping-fixed,52001047,6-10,5,3
telescoping-fixed,52001047,11-20,6,3
telescoping-fixed,52001047,21-35,1,0
telescoping-fixed,52001047,36-50,0,0
campaign75-fixed-daily,52001047,1-5,4,4
campaign75-fixed-daily,52001047,6-10,5,3
campaign75-fixed-daily,52001047,11-20,6,4
campaign75-fixed-daily,52001047,21-35,1,0
campaign75-fixed-daily,52001047,36-50,0,0
campaign75-geometric-daily,52001047,1-5,4,3
campaign75-geometric-daily,52001047,6-10,5,3
campaign75-geometric-daily,52001047,11-20,6,5
campaign75-geometric-daily,52001047,21-35,1,0
campaign75-geometric-daily,52001047,36-50,0,0
telescoping-fixed,52001048,1-5,5,4
telescoping-fixed,52001048,6-10,5,5
telescoping-fixed,52001048,11-20,6,2
telescoping-fixed,52001048,21-35,0,0
telescoping-fixed,52001048,36-50,0,0
campaign75-fixed-daily,52001048,1-5,5,4
campaign75-fixed-daily,52001048,6-10,5,5
campaign75-fixed-daily,52001048,11-20,6,4
campaign75-fixed-daily,52001048,21-35,0,0
campaign75-fixed-daily,52001048,36-50,0,0
campaign75-geometric-daily,52001048,1-5,5,4
campaign75-geometric-daily,52001048,6-10,5,5
campaign75-geometric-daily,52001048,11-20,6,4
campaign75-geometric-daily,52001048,21-35,0,0
campaign75-geometric-daily,52001048,36-50,0,0
telescoping-fixed,52001049,1-5,5,4
telescoping-fixed,52001049,6-10,5,3
telescoping-fixed,52001049,11-20,6,4
telescoping-fixed,52001049,21-35,0,0
telescoping-fixed,52001049,36-50,0,0
campaign75-fixed-daily,52001049,1-5,5,4
campaign75-fixed-daily,52001049,6-10,5,3
campaign75-fixed-daily,52001049,11-20,6,4
campaign75-fixed-daily,52001049,21-35,0,0
campaign75-fixed-daily,52001049,36-50,0,0
campaign75-geometric-daily,52001049,1-5,5,4
campaign75-geometric-daily,52001049,6-10,5,3
campaign75-geometric-daily,52001049,11-20,6,5
campaign75-geometric-daily,52001049,21-35,0,0
campaign75-geometric-daily,52001049,36-50,0,0
telescoping-fixed,52001050,1-5,5,4
telescoping-fixed,52001050,6-10,4,1
telescoping-fixed,52001050,11-20,6,1
telescoping-fixed,52001050,21-35,1,0
telescoping-fixed,52001050,36-50,0,0
campaign75-fixed-daily,52001050,1-5,5,4
campaign75-fixed-daily,52001050,6-10,4,1
campaign75-fixed-daily,52001050,11-20,6,1
campaign75-fixed-daily,52001050,21-35,1,0
campaign75-fixed-daily,52001050,36-50,0,0
campaign75-geometric-daily,52001050,1-5,5,5
campaign75-geometric-daily,52001050,6-10,4,4
campaign75-geometric-daily,52001050,11-20,6,6
campaign75-geometric-daily,52001050,21-35,1,0
campaign75-geometric-daily,52001050,36-50,0,0
telescoping-fixed,52001051,1-5,5,0
telescoping-fixed,52001051,6-10,5,0
telescoping-fixed,52001051,11-20,6,0
telescoping-fixed,52001051,21-35,0,0
telescoping-fixed,52001051,36-50,0,0
campaign75-fixed-daily,52001051,1-5,5,0
campaign75-fixed-daily,52001051,6-10,5,0
campaign75-fixed-daily,52001051,11-20,6,0
campaign75-fixed-daily,52001051,21-35,0,0
campaign75-fixed-daily,52001051,36-50,0,0
campaign75-geometric-daily,52001051,1-5,5,0
campaign75-geometric-daily,52001051,6-10,5,0
campaign75-geometric-daily,52001051,11-20,6,0
campaign75-geometric-daily,52001051,21-35,0,0
campaign75-geometric-daily,52001051,36-50,0,0
telescoping-fixed,52001052,1-5,5,3
telescoping-fixed,52001052,6-10,5,0
telescoping-fixed,52001052,11-20,4,1
telescoping-fixed,52001052,21-35,2,0
telescoping-fixed,52001052,36-50,0,0
campaign75-fixed-daily,52001052,1-5,5,3
campaign75-fixed-daily,52001052,6-10,5,1
campaign75-fixed-daily,52001052,11-20,4,3
campaign75-fixed-daily,52001052,21-35,2,0
campaign75-fixed-daily,52001052,36-50,0,0
campaign75-geometric-daily,52001052,1-5,5,3
campaign75-geometric-daily,52001052,6-10,5,1
campaign75-geometric-daily,52001052,11-20,4,3
campaign75-geometric-daily,52001052,21-35,2,0
campaign75-geometric-daily,52001052,36-50,0,0
telescoping-fixed,52001053,1-5,5,3
telescoping-fixed,52001053,6-10,4,2
telescoping-fixed,52001053,11-20,7,0
telescoping-fixed,52001053,21-35,0,0
telescoping-fixed,52001053,36-50,0,0
campaign75-fixed-daily,52001053,1-5,5,3
campaign75-fixed-daily,52001053,6-10,4,4
campaign75-fixed-daily,52001053,11-20,7,1
campaign75-fixed-daily,52001053,21-35,0,0
campaign75-fixed-daily,52001053,36-50,0,0
campaign75-geometric-daily,52001053,1-5,5,3
campaign75-geometric-daily,52001053,6-10,4,4
campaign75-geometric-daily,52001053,11-20,7,1
campaign75-geometric-daily,52001053,21-35,0,0
campaign75-geometric-daily,52001053,36-50,0,0
telescoping-fixed,52001054,1-5,5,5
telescoping-fixed,52001054,6-10,4,1
telescoping-fixed,52001054,11-20,5,0
telescoping-fixed,52001054,21-35,2,0
telescoping-fixed,52001054,36-50,0,0
campaign75-fixed-daily,52001054,1-5,5,3
campaign75-fixed-daily,52001054,6-10,4,1
campaign75-fixed-daily,52001054,11-20,5,0
campaign75-fixed-daily,52001054,21-35,2,0
campaign75-fixed-daily,52001054,36-50,0,0
campaign75-geometric-daily,52001054,1-5,5,5
campaign75-geometric-daily,52001054,6-10,4,4
campaign75-geometric-daily,52001054,11-20,5,4
campaign75-geometric-daily,52001054,21-35,2,1
campaign75-geometric-daily,52001054,36-50,0,0
telescoping-fixed,52001055,1-5,5,5
telescoping-fixed,52001055,6-10,5,4
telescoping-fixed,52001055,11-20,6,1
telescoping-fixed,52001055,21-35,0,0
telescoping-fixed,52001055,36-50,0,0
campaign75-fixed-daily,52001055,1-5,5,5
campaign75-fixed-daily,52001055,6-10,5,4
campaign75-fixed-daily,52001055,11-20,6,5
campaign75-fixed-daily,52001055,21-35,0,0
campaign75-fixed-daily,52001055,36-50,0,0
campaign75-geometric-daily,52001055,1-5,5,5
campaign75-geometric-daily,52001055,6-10,5,4
campaign75-geometric-daily,52001055,11-20,6,5
campaign75-geometric-daily,52001055,21-35,0,0
campaign75-geometric-daily,52001055,36-50,0,0
telescoping-fixed,52001056,1-5,5,4
telescoping-fixed,52001056,6-10,5,4
telescoping-fixed,52001056,11-20,5,0
telescoping-fixed,52001056,21-35,1,0
telescoping-fixed,52001056,36-50,0,0
campaign75-fixed-daily,52001056,1-5,5,3
campaign75-fixed-daily,52001056,6-10,5,5
campaign75-fixed-daily,52001056,11-20,5,2
campaign75-fixed-daily,52001056,21-35,1,0
campaign75-fixed-daily,52001056,36-50,0,0
campaign75-geometric-daily,52001056,1-5,5,3
campaign75-geometric-daily,52001056,6-10,5,5
campaign75-geometric-daily,52001056,11-20,5,1
campaign75-geometric-daily,52001056,21-35,1,0
campaign75-geometric-daily,52001056,36-50,0,0
telescoping-fixed,52001057,1-5,5,1
telescoping-fixed,52001057,6-10,5,3
telescoping-fixed,52001057,11-20,6,2
telescoping-fixed,52001057,21-35,0,0
telescoping-fixed,52001057,36-50,0,0
campaign75-fixed-daily,52001057,1-5,5,1
campaign75-fixed-daily,52001057,6-10,5,3
campaign75-fixed-daily,52001057,11-20,6,3
campaign75-fixed-daily,52001057,21-35,0,0
campaign75-fixed-daily,52001057,36-50,0,0
campaign75-geometric-daily,52001057,1-5,5,1
campaign75-geometric-daily,52001057,6-10,5,3
campaign75-geometric-daily,52001057,11-20,6,3
campaign75-geometric-daily,52001057,21-35,0,0
campaign75-geometric-daily,52001057,36-50,0,0
telescoping-fixed,52001058,1-5,5,3
telescoping-fixed,52001058,6-10,5,2
telescoping-fixed,52001058,11-20,6,3
telescoping-fixed,52001058,21-35,0,0
telescoping-fixed,52001058,36-50,0,0
campaign75-fixed-daily,52001058,1-5,5,3
campaign75-fixed-daily,52001058,6-10,5,2
campaign75-fixed-daily,52001058,11-20,6,4
campaign75-fixed-daily,52001058,21-35,0,0
campaign75-fixed-daily,52001058,36-50,0,0
campaign75-geometric-daily,52001058,1-5,5,3
campaign75-geometric-daily,52001058,6-10,5,2
campaign75-geometric-daily,52001058,11-20,6,4
campaign75-geometric-daily,52001058,21-35,0,0
campaign75-geometric-daily,52001058,36-50,0,0
telescoping-fixed,52001059,1-5,5,3
telescoping-fixed,52001059,6-10,4,3
telescoping-fixed,52001059,11-20,7,1
telescoping-fixed,52001059,21-35,0,0
telescoping-fixed,52001059,36-50,0,0
campaign75-fixed-daily,52001059,1-5,5,3
campaign75-fixed-daily,52001059,6-10,4,3
campaign75-fixed-daily,52001059,11-20,7,2
campaign75-fixed-daily,52001059,21-35,0,0
campaign75-fixed-daily,52001059,36-50,0,0
campaign75-geometric-daily,52001059,1-5,5,3
campaign75-geometric-daily,52001059,6-10,4,3
campaign75-geometric-daily,52001059,11-20,7,4
campaign75-geometric-daily,52001059,21-35,0,0
campaign75-geometric-daily,52001059,36-50,0,0
telescoping-fixed,52001060,1-5,5,4
telescoping-fixed,52001060,6-10,4,3
telescoping-fixed,52001060,11-20,7,0
telescoping-fixed,52001060,21-35,0,0
telescoping-fixed,52001060,36-50,0,0
campaign75-fixed-daily,52001060,1-5,5,4
campaign75-fixed-daily,52001060,6-10,4,4
campaign75-fixed-daily,52001060,11-20,7,0
campaign75-fixed-daily,52001060,21-35,0,0
campaign75-fixed-daily,52001060,36-50,0,0
campaign75-geometric-daily,52001060,1-5,5,4
campaign75-geometric-daily,52001060,6-10,4,4
campaign75-geometric-daily,52001060,11-20,7,5
campaign75-geometric-daily,52001060,21-35,0,0
campaign75-geometric-daily,52001060,36-50,0,0
telescoping-fixed,52001061,1-5,5,5
telescoping-fixed,52001061,6-10,5,5
telescoping-fixed,52001061,11-20,5,4
telescoping-fixed,52001061,21-35,1,1
telescoping-fixed,52001061,36-50,0,0
campaign75-fixed-daily,52001061,1-5,5,5
campaign75-fixed-daily,52001061,6-10,5,5
campaign75-fixed-daily,52001061,11-20,5,5
campaign75-fixed-daily,52001061,21-35,1,1
campaign75-fixed-daily,52001061,36-50,0,0
campaign75-geometric-daily,52001061,1-5,5,5
campaign75-geometric-daily,52001061,6-10,5,5
campaign75-geometric-daily,52001061,11-20,5,4
campaign75-geometric-daily,52001061,21-35,1,1
campaign75-geometric-daily,52001061,36-50,0,0
telescoping-fixed,52001062,1-5,5,5
telescoping-fixed,52001062,6-10,5,5
telescoping-fixed,52001062,11-20,6,4
telescoping-fixed,52001062,21-35,0,0
telescoping-fixed,52001062,36-50,0,0
campaign75-fixed-daily,52001062,1-5,5,5
campaign75-fixed-daily,52001062,6-10,5,5
campaign75-fixed-daily,52001062,11-20,6,4
campaign75-fixed-daily,52001062,21-35,0,0
campaign75-fixed-daily,52001062,36-50,0,0
campaign75-geometric-daily,52001062,1-5,5,5
campaign75-geometric-daily,52001062,6-10,5,5
campaign75-geometric-daily,52001062,11-20,6,4
campaign75-geometric-daily,52001062,21-35,0,0
campaign75-geometric-daily,52001062,36-50,0,0
telescoping-fixed,52001063,1-5,5,3
telescoping-fixed,52001063,6-10,5,3
telescoping-fixed,52001063,11-20,4,0
telescoping-fixed,52001063,21-35,2,0
telescoping-fixed,52001063,36-50,0,0
campaign75-fixed-daily,52001063,1-5,5,3
campaign75-fixed-daily,52001063,6-10,5,3
campaign75-fixed-daily,52001063,11-20,4,1
campaign75-fixed-daily,52001063,21-35,2,0
campaign75-fixed-daily,52001063,36-50,0,0
campaign75-geometric-daily,52001063,1-5,5,3
campaign75-geometric-daily,52001063,6-10,5,3
campaign75-geometric-daily,52001063,11-20,4,0
campaign75-geometric-daily,52001063,21-35,2,0
campaign75-geometric-daily,52001063,36-50,0,0
telescoping-fixed,52001064,1-5,5,1
telescoping-fixed,52001064,6-10,5,0
telescoping-fixed,52001064,11-20,6,0
telescoping-fixed,52001064,21-35,0,0
telescoping-fixed,52001064,36-50,0,0
campaign75-fixed-daily,52001064,1-5,5,0
campaign75-fixed-daily,52001064,6-10,5,0
campaign75-fixed-daily,52001064,11-20,6,0
campaign75-fixed-daily,52001064,21-35,0,0
campaign75-fixed-daily,52001064,36-50,0,0
campaign75-geometric-daily,52001064,1-5,5,0
campaign75-geometric-daily,52001064,6-10,5,0
campaign75-geometric-daily,52001064,11-20,6,0
campaign75-geometric-daily,52001064,21-35,0,0
campaign75-geometric-daily,52001064,36-50,0,0
telescoping-fixed,52001065,1-5,5,5
telescoping-fixed,52001065,6-10,5,1
telescoping-fixed,52001065,11-20,6,3
telescoping-fixed,52001065,21-35,0,0
telescoping-fixed,52001065,36-50,0,0
campaign75-fixed-daily,52001065,1-5,5,5
campaign75-fixed-daily,52001065,6-10,5,4
campaign75-fixed-daily,52001065,11-20,6,5
campaign75-fixed-daily,52001065,21-35,0,0
campaign75-fixed-daily,52001065,36-50,0,0
campaign75-geometric-daily,52001065,1-5,5,5
campaign75-geometric-daily,52001065,6-10,5,3
campaign75-geometric-daily,52001065,11-20,6,4
campaign75-geometric-daily,52001065,21-35,0,0
campaign75-geometric-daily,52001065,36-50,0,0
telescoping-fixed,52001066,1-5,5,5
telescoping-fixed,52001066,6-10,5,5
telescoping-fixed,52001066,11-20,6,2
telescoping-fixed,52001066,21-35,0,0
telescoping-fixed,52001066,36-50,0,0
campaign75-fixed-daily,52001066,1-5,5,5
campaign75-fixed-daily,52001066,6-10,5,5
campaign75-fixed-daily,52001066,11-20,6,6
campaign75-fixed-daily,52001066,21-35,0,0
campaign75-fixed-daily,52001066,36-50,0,0
campaign75-geometric-daily,52001066,1-5,5,5
campaign75-geometric-daily,52001066,6-10,5,5
campaign75-geometric-daily,52001066,11-20,6,5
campaign75-geometric-daily,52001066,21-35,0,0
campaign75-geometric-daily,52001066,36-50,0,0
telescoping-fixed,52001067,1-5,5,5
telescoping-fixed,52001067,6-10,5,3
telescoping-fixed,52001067,11-20,6,6
telescoping-fixed,52001067,21-35,0,0
telescoping-fixed,52001067,36-50,0,0
campaign75-fixed-daily,52001067,1-5,5,5
campaign75-fixed-daily,52001067,6-10,5,4
campaign75-fixed-daily,52001067,11-20,6,6
campaign75-fixed-daily,52001067,21-35,0,0
campaign75-fixed-daily,52001067,36-50,0,0
campaign75-geometric-daily,52001067,1-5,5,5
campaign75-geometric-daily,52001067,6-10,5,4
campaign75-geometric-daily,52001067,11-20,6,6
campaign75-geometric-daily,52001067,21-35,0,0
campaign75-geometric-daily,52001067,36-50,0,0
telescoping-fixed,52001068,1-5,5,5
telescoping-fixed,52001068,6-10,5,5
telescoping-fixed,52001068,11-20,6,5
telescoping-fixed,52001068,21-35,0,0
telescoping-fixed,52001068,36-50,0,0
campaign75-fixed-daily,52001068,1-5,5,5
campaign75-fixed-daily,52001068,6-10,5,5
campaign75-fixed-daily,52001068,11-20,6,6
campaign75-fixed-daily,52001068,21-35,0,0
campaign75-fixed-daily,52001068,36-50,0,0
campaign75-geometric-daily,52001068,1-5,5,5
campaign75-geometric-daily,52001068,6-10,5,5
campaign75-geometric-daily,52001068,11-20,6,6
campaign75-geometric-daily,52001068,21-35,0,0
campaign75-geometric-daily,52001068,36-50,0,0
telescoping-fixed,52001069,1-5,5,2
telescoping-fixed,52001069,6-10,5,0
telescoping-fixed,52001069,11-20,6,0
telescoping-fixed,52001069,21-35,0,0
telescoping-fixed,52001069,36-50,0,0
campaign75-fixed-daily,52001069,1-5,5,1
campaign75-fixed-daily,52001069,6-10,5,0
campaign75-fixed-daily,52001069,11-20,6,1
campaign75-fixed-daily,52001069,21-35,0,0
campaign75-fixed-daily,52001069,36-50,0,0
campaign75-geometric-daily,52001069,1-5,5,1
campaign75-geometric-daily,52001069,6-10,5,0
campaign75-geometric-daily,52001069,11-20,6,0
campaign75-geometric-daily,52001069,21-35,0,0
campaign75-geometric-daily,52001069,36-50,0,0
telescoping-fixed,52001070,1-5,5,5
telescoping-fixed,52001070,6-10,5,4
telescoping-fixed,52001070,11-20,5,3
telescoping-fixed,52001070,21-35,1,0
telescoping-fixed,52001070,36-50,0,0
campaign75-fixed-daily,52001070,1-5,5,4
campaign75-fixed-daily,52001070,6-10,5,4
campaign75-fixed-daily,52001070,11-20,5,4
campaign75-fixed-daily,52001070,21-35,1,0
campaign75-fixed-daily,52001070,36-50,0,0
campaign75-geometric-daily,52001070,1-5,5,5
campaign75-geometric-daily,52001070,6-10,5,4
campaign75-geometric-daily,52001070,11-20,5,4
campaign75-geometric-daily,52001070,21-35,1,1
campaign75-geometric-daily,52001070,36-50,0,0
telescoping-fixed,52001071,1-5,5,3
telescoping-fixed,52001071,6-10,5,3
telescoping-fixed,52001071,11-20,4,1
telescoping-fixed,52001071,21-35,2,0
telescoping-fixed,52001071,36-50,0,0
campaign75-fixed-daily,52001071,1-5,5,3
campaign75-fixed-daily,52001071,6-10,5,3
campaign75-fixed-daily,52001071,11-20,4,1
campaign75-fixed-daily,52001071,21-35,2,0
campaign75-fixed-daily,52001071,36-50,0,0
campaign75-geometric-daily,52001071,1-5,5,3
campaign75-geometric-daily,52001071,6-10,5,3
campaign75-geometric-daily,52001071,11-20,4,2
campaign75-geometric-daily,52001071,21-35,2,0
campaign75-geometric-daily,52001071,36-50,0,0
telescoping-fixed,52001072,1-5,5,5
telescoping-fixed,52001072,6-10,5,2
telescoping-fixed,52001072,11-20,4,0
telescoping-fixed,52001072,21-35,1,0
telescoping-fixed,52001072,36-50,1,0
campaign75-fixed-daily,52001072,1-5,5,4
campaign75-fixed-daily,52001072,6-10,5,3
campaign75-fixed-daily,52001072,11-20,4,1
campaign75-fixed-daily,52001072,21-35,1,0
campaign75-fixed-daily,52001072,36-50,1,0
campaign75-geometric-daily,52001072,1-5,5,4
campaign75-geometric-daily,52001072,6-10,5,1
campaign75-geometric-daily,52001072,11-20,4,1
campaign75-geometric-daily,52001072,21-35,1,0
campaign75-geometric-daily,52001072,36-50,1,0
telescoping-fixed,52001073,1-5,5,5
telescoping-fixed,52001073,6-10,5,5
telescoping-fixed,52001073,11-20,6,1
telescoping-fixed,52001073,21-35,0,0
telescoping-fixed,52001073,36-50,0,0
campaign75-fixed-daily,52001073,1-5,5,5
campaign75-fixed-daily,52001073,6-10,5,5
campaign75-fixed-daily,52001073,11-20,6,5
campaign75-fixed-daily,52001073,21-35,0,0
campaign75-fixed-daily,52001073,36-50,0,0
campaign75-geometric-daily,52001073,1-5,5,5
campaign75-geometric-daily,52001073,6-10,5,5
campaign75-geometric-daily,52001073,11-20,6,6
campaign75-geometric-daily,52001073,21-35,0,0
campaign75-geometric-daily,52001073,36-50,0,0
telescoping-fixed,52001074,1-5,5,1
telescoping-fixed,52001074,6-10,5,1
telescoping-fixed,52001074,11-20,6,0
telescoping-fixed,52001074,21-35,0,0
telescoping-fixed,52001074,36-50,0,0
campaign75-fixed-daily,52001074,1-5,5,1
campaign75-fixed-daily,52001074,6-10,5,1
campaign75-fixed-daily,52001074,11-20,6,1
campaign75-fixed-daily,52001074,21-35,0,0
campaign75-fixed-daily,52001074,36-50,0,0
campaign75-geometric-daily,52001074,1-5,5,1
campaign75-geometric-daily,52001074,6-10,5,1
campaign75-geometric-daily,52001074,11-20,6,1
campaign75-geometric-daily,52001074,21-35,0,0
campaign75-geometric-daily,52001074,36-50,0,0
telescoping-fixed,52001075,1-5,5,4
telescoping-fixed,52001075,6-10,5,2
telescoping-fixed,52001075,11-20,6,0
telescoping-fixed,52001075,21-35,0,0
telescoping-fixed,52001075,36-50,0,0
campaign75-fixed-daily,52001075,1-5,5,2
campaign75-fixed-daily,52001075,6-10,5,2
campaign75-fixed-daily,52001075,11-20,6,1
campaign75-fixed-daily,52001075,21-35,0,0
campaign75-fixed-daily,52001075,36-50,0,0
campaign75-geometric-daily,52001075,1-5,5,2
campaign75-geometric-daily,52001075,6-10,5,2
campaign75-geometric-daily,52001075,11-20,6,1
campaign75-geometric-daily,52001075,21-35,0,0
campaign75-geometric-daily,52001075,36-50,0,0
telescoping-fixed,52001076,1-5,5,2
telescoping-fixed,52001076,6-10,5,1
telescoping-fixed,52001076,11-20,6,0
telescoping-fixed,52001076,21-35,0,0
telescoping-fixed,52001076,36-50,0,0
campaign75-fixed-daily,52001076,1-5,5,2
campaign75-fixed-daily,52001076,6-10,5,1
campaign75-fixed-daily,52001076,11-20,6,0
campaign75-fixed-daily,52001076,21-35,0,0
campaign75-fixed-daily,52001076,36-50,0,0
campaign75-geometric-daily,52001076,1-5,5,2
campaign75-geometric-daily,52001076,6-10,5,1
campaign75-geometric-daily,52001076,11-20,6,0
campaign75-geometric-daily,52001076,21-35,0,0
campaign75-geometric-daily,52001076,36-50,0,0
telescoping-fixed,52001077,1-5,5,3
telescoping-fixed,52001077,6-10,5,2
telescoping-fixed,52001077,11-20,5,1
telescoping-fixed,52001077,21-35,1,0
telescoping-fixed,52001077,36-50,0,0
campaign75-fixed-daily,52001077,1-5,5,3
campaign75-fixed-daily,52001077,6-10,5,2
campaign75-fixed-daily,52001077,11-20,5,2
campaign75-fixed-daily,52001077,21-35,1,0
campaign75-fixed-daily,52001077,36-50,0,0
campaign75-geometric-daily,52001077,1-5,5,3
campaign75-geometric-daily,52001077,6-10,5,2
campaign75-geometric-daily,52001077,11-20,5,2
campaign75-geometric-daily,52001077,21-35,1,0
campaign75-geometric-daily,52001077,36-50,0,0
telescoping-fixed,52001078,1-5,5,3
telescoping-fixed,52001078,6-10,5,0
telescoping-fixed,52001078,11-20,5,1
telescoping-fixed,52001078,21-35,1,0
telescoping-fixed,52001078,36-50,0,0
campaign75-fixed-daily,52001078,1-5,5,1
campaign75-fixed-daily,52001078,6-10,5,0
campaign75-fixed-daily,52001078,11-20,5,1
campaign75-fixed-daily,52001078,21-35,1,0
campaign75-fixed-daily,52001078,36-50,0,0
campaign75-geometric-daily,52001078,1-5,5,2
campaign75-geometric-daily,52001078,6-10,5,0
campaign75-geometric-daily,52001078,11-20,5,2
campaign75-geometric-daily,52001078,21-35,1,0
campaign75-geometric-daily,52001078,36-50,0,0
telescoping-fixed,52001079,1-5,5,5
telescoping-fixed,52001079,6-10,5,4
telescoping-fixed,52001079,11-20,5,0
telescoping-fixed,52001079,21-35,1,0
telescoping-fixed,52001079,36-50,0,0
campaign75-fixed-daily,52001079,1-5,5,5
campaign75-fixed-daily,52001079,6-10,5,4
campaign75-fixed-daily,52001079,11-20,5,1
campaign75-fixed-daily,52001079,21-35,1,0
campaign75-fixed-daily,52001079,36-50,0,0
campaign75-geometric-daily,52001079,1-5,5,5
campaign75-geometric-daily,52001079,6-10,5,4
campaign75-geometric-daily,52001079,11-20,5,4
campaign75-geometric-daily,52001079,21-35,1,1
campaign75-geometric-daily,52001079,36-50,0,0
telescoping-fixed,52001080,1-5,5,4
telescoping-fixed,52001080,6-10,5,3
telescoping-fixed,52001080,11-20,4,0
telescoping-fixed,52001080,21-35,2,0
telescoping-fixed,52001080,36-50,0,0
campaign75-fixed-daily,52001080,1-5,5,4
campaign75-fixed-daily,52001080,6-10,5,3
campaign75-fixed-daily,52001080,11-20,4,2
