design,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,52001008,1-5,5,4
telescoping-fixed,52001008,6-10,5,2
telescoping-fixed,52001008,11-20,5,1
telescoping-fixed,52001008,21-35,0,0
telescoping-fixed,52001008,36-50,1,0
campaign75-fixed-daily,52001008,1-5,5,4
campaign75-fixed-daily,52001008,6-10,5,2
campaign75-fixed-daily,52001008,11-20,5,2
campaign75-fixed-daily,52001008,21-35,0,0
campaign75-fixed-daily,52001008,36-50,1,0
campaign75-geometric-daily,52001008,1-5,5,4
campaign75-geometric-daily,52001008,6-10,5,2
campaign75-geometric-daily,52001008,11-20,5,4
campaign75-geometric-daily,52001008,21-35,0,0
campaign75-geometric-daily,52001008,36-50,1,0
telescoping-fixed,52001009,1-5,5,5
telescoping-fixed,52001009,6-10,5,2
telescoping-fixed,52001009,11-20,6,2
telescoping-fixed,52001009,21-35,0,0
telescoping-fixed,52001009,36-50,0,0
campaign75-fixed-daily,52001009,1-5,5,4
campaign75-fixed-daily,52001009,6-10,5,2
campaign75-fixed-daily,52001009,11-20,6,4
campaign75-fixed-daily,52001009,21-35,0,0
campaign75-fixed-daily,52001009,36-50,0,0
campaign75-geometric-daily,52001009,1-5,5,4
campaign75-geometric-daily,52001009,6-10,5,2
campaign75-geometric-daily,52001009,11-20,6,4
campaign75-geometric-daily,52001009,21-35,0,0
campaign75-geometric-daily,52001009,36-50,0,0
telescoping-fixed,52001010,1-5,5,4
telescoping-fixed,52001010,6-10,4,1
telescoping-fixed,52001010,11-20,6,0
telescoping-fixed,52001010,21-35,0,0
telescoping-fixed,52001010,36-50,1,0
campaign75-fixed-daily,52001010,1-5,5,4
campaign75-fixed-daily,52001010,6-10,4,1
campaign75-fixed-daily,52001010,11-20,6,0
campaign75-fixed-daily,52001010,21-35,0,0
campaign75-fixed-daily,52001010,36-50,1,0
campaign75-geometric-daily,52001010,1-5,5,4
campaign75-geometric-daily,52001010,6-10,4,2
campaign75-geometric-daily,52001010,11-20,6,2
campaign75-geometric-daily,52001010,21-35,0,0
campaign75-geometric-daily,52001010,36-50,1,0
