annual_sharpe,correlation,seed,seed_source,proposal_recall,method,fdp,conditional_power,end_to_end_power,discoveries,delay_days
0.5,0,314188,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314189,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314189,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314190,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,1101
0.5,0,314190,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0.0666666666667,0.0625,1,1259
0.5,0,314191,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314191,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314192,archived_314159_anchor,1,SAFE-ALPHA,0,0.0625,0.0625,1,451
0.5,0,314192,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314193,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314193,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314194,archived_314159_anchor,1,SAFE-ALPHA,0,0,0,0,
0.5,0,314194,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314195,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314195,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314196,archived_314159_anchor,0.625,SAFE-ALPHA,0,0,0,0,
0.5,0,314196,archived_314159_anchor,0.625,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314197,archived_314159_anchor,1,SAFE-ALPHA,0,0,0,0,
0.5,0,314197,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314198,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314198,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314199,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314199,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314200,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314200,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314201,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314201,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314202,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314202,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314203,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314203,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314204,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314204,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314205,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314205,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314206,archived_314159_anchor,1,SAFE-ALPHA,0,0.0625,0.0625,1,966
0.5,0,314206,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314207,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314207,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314208,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314208,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314209,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314209,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314210,archived_314159_anchor,0.6875,SAFE-ALPHA,0,0,0,0,
0.5,0,314210,archived_314159_anchor,0.6875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314211,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314211,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314212,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314212,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314213,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314213,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314214,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314214,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314215,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,346
0.5,0,314215,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314216,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314216,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314217,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314217,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314218,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314218,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314219,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314219,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314220,archived_314159_anchor,0.625,SAFE-ALPHA,0,0,0,0,
0.5,0,314220,archived_314159_anchor,0.625,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314221,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314221,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314222,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314222,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314223,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.0714285714286,0.0625,1,721
0.5,0,314223,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0.0714285714286,0.0625,1,1229
0.5,0,314224,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314224,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314225,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0.153846153846,0.125,2,1056
0.5,0,314225,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0.153846153846,0.125,2,1221.5
