q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.15,Matched terminal weighted e-BH,0,0.6875,11,1158.09090909,315913
0.175,SAFE-ALPHA,0,0.9375,15,433.666666667,315913
0.175,Matched terminal weighted e-BH,0,0.75,12,1152.75,315913
0.2,SAFE-ALPHA,0,0.9375,15,360,315913
0.2,Matched terminal weighted e-BH,0,0.875,14,1149.71428571,315913
0.01,SAFE-ALPHA,0,0.5625,9,739.333333333,315914
0.01,Matched terminal weighted e-BH,0,0.375,6,1209,315914
0.025,SAFE-ALPHA,0,0.5625,9,668.222222222,315914
0.025,Matched terminal weighted e-BH,0,0.375,6,1209,315914
0.05,SAFE-ALPHA,0,0.6875,11,665.090909091,315914
0.05,Matched terminal weighted e-BH,0,0.5625,9,1192.33333333,315914
0.075,SAFE-ALPHA,0,0.8125,13,686,315914
0.075,Matched terminal weighted e-BH,0,0.5625,9,1192.33333333,315914
0.1,SAFE-ALPHA,0,0.8125,13,660.230769231,315914
0.1,Matched terminal weighted e-BH,0,0.5625,9,1192.33333333,315914
0.125,SAFE-ALPHA,0,0.8125,13,638.307692308,315914
0.125,Matched terminal weighted e-BH,0,0.6875,11,1178.54545455,315914
0.15,SAFE-ALPHA,0,0.8125,13,545.615384615,315914
0.15,Matched terminal weighted e-BH,0,0.6875,11,1178.54545455,315914
0.175,SAFE-ALPHA,0,0.8125,13,534.461538462,315914
0.175,Matched terminal weighted e-BH,0,0.75,12,1171.5,315914
0.2,SAFE-ALPHA,0,0.8125,13,522.538461538,315914
0.2,Matched terminal weighted e-BH,0,0.75,12,1171.5,315914
0.01,SAFE-ALPHA,0,0,0,,315915
0.01,Matched terminal weighted e-BH,0,0,0,,315915
0.025,SAFE-ALPHA,0,0.375,6,996.833333333,315915
0.025,Matched terminal weighted e-BH,0,0,0,,315915
0.05,SAFE-ALPHA,0,0.5,8,706.625,315915
0.05,Matched terminal weighted e-BH,0,0.3125,5,1181,315915
0.075,SAFE-ALPHA,0,0.625,10,760.5,315915
0.075,Matched terminal weighted e-BH,0,0.3125,5,1181,315915
0.1,SAFE-ALPHA,0,0.625,10,729,315915
0.1,Matched terminal weighted e-BH,0,0.4375,7,1184,315915
0.125,SAFE-ALPHA,0,0.6875,11,731.454545455,315915
0.125,Matched terminal weighted e-BH,0,0.4375,7,1184,315915
0.15,SAFE-ALPHA,0,0.6875,11,624.636363636,315915
0.15,Matched terminal weighted e-BH,0,0.4375,7,1184,315915
0.175,SAFE-ALPHA,0,0.6875,11,590.090909091,315915
0.175,Matched terminal weighted e-BH,0,0.4375,7,1184,315915
0.2,SAFE-ALPHA,0,0.6875,11,548.272727273,315915
0.2,Matched terminal weighted e-BH,0,0.5625,9,1164,315915
0.01,SAFE-ALPHA,0,0.125,2,758.5,315916
0.01,Matched terminal weighted e-BH,0,0.125,2,1251.5,315916
0.025,SAFE-ALPHA,0,0.125,2,708.5,315916
0.025,Matched terminal weighted e-BH,0,0.125,2,1251.5,315916
0.05,SAFE-ALPHA,0,0.4375,7,694.571428571,315916
0.05,Matched terminal weighted e-BH,0,0.125,2,1251.5,315916
0.075,SAFE-ALPHA,0,0.5,8,695.375,315916
0.075,Matched terminal weighted e-BH,0,0.25,4,1202.75,315916
0.1,SAFE-ALPHA,0,0.625,10,766.5,315916
0.1,Matched terminal weighted e-BH,0,0.25,4,1202.75,315916
0.125,SAFE-ALPHA,0,0.625,10,699,315916
0.125,Matched terminal weighted e-BH,0,0.25,4,1202.75,315916
0.15,SAFE-ALPHA,0,0.6875,11,654.636363636,315916
0.15,Matched terminal weighted e-BH,0,0.25,4,1202.75,315916
0.175,SAFE-ALPHA,0,0.75,12,649.75,315916
0.175,Matched terminal weighted e-BH,0,0.5,8,1184,315916
0.2,SAFE-ALPHA,0,0.75,12,640.166666667,315916
0.2,Matched terminal weighted e-BH,0,0.5625,9,1189,315916
0.01,SAFE-ALPHA,0,0.0625,1,1036,315917
0.01,Matched terminal weighted e-BH,0,0.0625,1,1139,315917
0.025,SAFE-ALPHA,0,0.0625,1,986,315917
0.025,Matched terminal weighted e-BH,0,0.0625,1,1139,315917
0.05,SAFE-ALPHA,0,0.0625,1,686,315917
0.05,Matched terminal weighted e-BH,0,0.0625,1,1139,315917
0.075,SAFE-ALPHA,0,0.125,2,898.5,315917
0.075,Matched terminal weighted e-BH,0,0.0625,1,1139,315917
0.1,SAFE-ALPHA,0,0.125,2,878.5,315917
0.1,Matched terminal weighted e-BH,0,0.0625,1,1139,315917
0.125,SAFE-ALPHA,0,0.3125,5,991,315917
0.125,Matched terminal weighted e-BH,0,0.125,2,1184,315917
0.15,SAFE-ALPHA,0,0.3125,5,988,315917
0.15,Matched terminal weighted e-BH,0,0.1875,3,1149,315917
0.175,SAFE-ALPHA,0,0.375,6,950.166666667,315917
0.175,Matched terminal weighted e-BH,0,0.1875,3,1149,315917
0.2,SAFE-ALPHA,0,0.375,6,939.333333333,315917
0.2,Matched terminal weighted e-BH,0,0.1875,3,1149,315917
0.01,SAFE-ALPHA,0,0.4375,7,967.428571429,315918
0.01,Matched terminal weighted e-BH,0,0.375,6,1209,315918
0.025,SAFE-ALPHA,0,0.5,8,902.875,315918
0.025,Matched terminal weighted e-BH,0,0.5,8,1204.625,315918
0.05,SAFE-ALPHA,0,0.5625,9,802.666666667,315918
0.05,Matched terminal weighted e-BH,0,0.5625,9,1195.66666667,315918
0.075,SAFE-ALPHA,0,0.6875,11,784.181818182,315918
0.075,Matched terminal weighted e-BH,0,0.6875,11,1175.81818182,315918
0.1,SAFE-ALPHA,0,0.6875,11,761.909090909,315918
0.1,Matched terminal weighted e-BH,0,0.6875,11,1175.81818182,315918
0.125,SAFE-ALPHA,0,0.6875,11,744.181818182,315918
0.125,Matched terminal weighted e-BH,0,0.6875,11,1175.81818182,315918
0.15,SAFE-ALPHA,0,0.8125,13,788.538461538,315918
