q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.15,Matched terminal weighted e-BH,0,0,0,,315975
0.175,SAFE-ALPHA,0,0.0625,1,876,315975
0.175,Matched terminal weighted e-BH,0,0,0,,315975
0.2,SAFE-ALPHA,0,0.0625,1,566,315975
0.2,Matched terminal weighted e-BH,0,0,0,,315975
0.01,SAFE-ALPHA,0,0.25,4,827.25,315976
0.01,Matched terminal weighted e-BH,0,0.1875,3,1214,315976
0.025,SAFE-ALPHA,0,0.5625,9,900.444444444,315976
0.025,Matched terminal weighted e-BH,0,0.4375,7,1207.57142857,315976
0.05,SAFE-ALPHA,0,0.5625,9,624.888888889,315976
0.05,Matched terminal weighted e-BH,0,0.5625,9,1199,315976
0.075,SAFE-ALPHA,0,0.625,10,656,315976
0.075,Matched terminal weighted e-BH,0,0.5625,9,1199,315976
0.1,SAFE-ALPHA,0,0.75,12,623.5,315976
0.1,Matched terminal weighted e-BH,0,0.625,10,1188.5,315976
0.125,SAFE-ALPHA,0,0.8125,13,615.230769231,315976
0.125,Matched terminal weighted e-BH,0,0.6875,11,1181.27272727,315976
0.15,SAFE-ALPHA,0,0.8125,13,575.230769231,315976
0.15,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315976
0.175,SAFE-ALPHA,0,0.8125,13,563.692307692,315976
0.175,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315976
0.2,SAFE-ALPHA,0,0.8125,13,517.538461538,315976
0.2,Matched terminal weighted e-BH,0,0.8125,13,1165.53846154,315976
0.01,SAFE-ALPHA,0,0.625,10,542,315977
0.01,Matched terminal weighted e-BH,0,0.625,10,1182.5,315977
0.025,SAFE-ALPHA,0,0.75,12,506.416666667,315977
0.025,Matched terminal weighted e-BH,0,0.6875,11,1166.27272727,315977
0.05,SAFE-ALPHA,0,0.75,12,398.5,315977
0.05,Matched terminal weighted e-BH,0,0.6875,11,1166.27272727,315977
0.075,SAFE-ALPHA,0,0.75,12,357.666666667,315977
0.075,Matched terminal weighted e-BH,0,0.75,12,1165.25,315977
0.1,SAFE-ALPHA,0,0.8125,13,360.230769231,315977
0.1,Matched terminal weighted e-BH,0,0.75,12,1165.25,315977
0.125,SAFE-ALPHA,0,0.8125,13,350.230769231,315977
0.125,Matched terminal weighted e-BH,0,0.75,12,1165.25,315977
0.15,SAFE-ALPHA,0,0.875,14,393.857142857,315977
0.15,Matched terminal weighted e-BH,0,0.75,12,1165.25,315977
0.175,SAFE-ALPHA,0,0.875,14,367.071428571,315977
0.175,Matched terminal weighted e-BH,0,0.8125,13,1160.92307692,315977
0.2,SAFE-ALPHA,0,0.875,14,364.214285714,315977
0.2,Matched terminal weighted e-BH,0,0.8125,13,1160.92307692,315977
0.01,SAFE-ALPHA,0,0.0625,1,686,315978
0.01,Matched terminal weighted e-BH,0,0.0625,1,1259,315978
0.025,SAFE-ALPHA,0,0.0625,1,611,315978
0.025,Matched terminal weighted e-BH,0,0.0625,1,1259,315978
0.05,SAFE-ALPHA,0,0.3125,5,881,315978
0.05,Matched terminal weighted e-BH,0,0.3125,5,1229,315978
0.075,SAFE-ALPHA,0,0.3125,5,809,315978
0.075,Matched terminal weighted e-BH,0,0.3125,5,1229,315978
0.1,SAFE-ALPHA,0,0.375,6,764.333333333,315978
0.1,Matched terminal weighted e-BH,0,0.375,6,1214,315978
0.125,SAFE-ALPHA,0,0.375,6,729.333333333,315978
0.125,Matched terminal weighted e-BH,0,0.375,6,1214,315978
0.15,SAFE-ALPHA,0,0.375,6,653.5,315978
0.15,Matched terminal weighted e-BH,0,0.375,6,1214,315978
0.175,SAFE-ALPHA,0,0.4375,7,688.857142857,315978
0.175,Matched terminal weighted e-BH,0,0.375,6,1214,315978
0.2,SAFE-ALPHA,0,0.4375,7,658.857142857,315978
0.2,Matched terminal weighted e-BH,0,0.375,6,1214,315978
0.01,SAFE-ALPHA,0,0.3125,5,768,315979
0.01,Matched terminal weighted e-BH,0,0.25,4,1199,315979
0.025,SAFE-ALPHA,0,0.5625,9,814.888888889,315979
0.025,Matched terminal weighted e-BH,0,0.5625,9,1170.66666667,315979
0.05,SAFE-ALPHA,0,0.75,12,751.833333333,315979
0.05,Matched terminal weighted e-BH,0,0.625,10,1164.5,315979
0.075,SAFE-ALPHA,0,0.75,12,731,315979
0.075,Matched terminal weighted e-BH,0,0.75,12,1159,315979
0.1,SAFE-ALPHA,0,0.75,12,706,315979
0.1,Matched terminal weighted e-BH,0,0.75,12,1159,315979
0.125,SAFE-ALPHA,0,0.75,12,686.416666667,315979
0.125,Matched terminal weighted e-BH,0,0.75,12,1159,315979
0.15,SAFE-ALPHA,0,0.8125,13,694.461538462,315979
0.15,Matched terminal weighted e-BH,0,0.75,12,1159,315979
0.175,SAFE-ALPHA,0,0.8125,13,672.538461538,315979
0.175,Matched terminal weighted e-BH,0,0.8125,13,1147.07692308,315979
0.2,SAFE-ALPHA,0,0.8125,13,657.923076923,315979
0.2,Matched terminal weighted e-BH,0,0.8125,13,1147.07692308,315979
0.01,SAFE-ALPHA,0,0.0625,1,896,315980
0.01,Matched terminal weighted e-BH,0,0.0625,1,1244,315980
0.025,SAFE-ALPHA,0,0.25,4,631,315980
0.025,Matched terminal weighted e-BH,0,0.0625,1,1244,315980
0.05,SAFE-ALPHA,0,0.25,4,613.5,315980
0.05,Matched terminal weighted e-BH,0,0.0625,1,1244,315980
0.075,SAFE-ALPHA,0,0.25,4,549.75,315980
0.075,Matched terminal weighted e-BH,0,0.125,2,1236.5,315980
0.1,SAFE-ALPHA,0,0.25,4,518.5,315980
0.1,Matched terminal weighted e-BH,0,0.125,2,1236.5,315980
0.125,SAFE-ALPHA,0,0.375,6,431.833333333,315980
0.125,Matched terminal weighted e-BH,0,0.125,2,1236.5,315980
0.15,SAFE-ALPHA,0,0.375,6,423.5,315980
0.15,Matched terminal weighted e-BH,0,0.125,2,1236.5,315980
0.175,SAFE-ALPHA,0,0.4375,7,347.428571429,315980
0.175,Matched terminal weighted e-BH,0,0.125,2,1236.5,315980
0.2,SAFE-ALPHA,0,0.4375,7,340.285714286,315980
0.2,Matched terminal weighted e-BH,0,0.1875,3,1209,315980
0.01,SAFE-ALPHA,0,0.0625,1,591,315981
0.01,Matched terminal weighted e-BH,0,0,0,,315981
0.025,SAFE-ALPHA,0,0.0625,1,476,315981
0.025,Matched terminal weighted e-BH,0,0.0625,1,1259,315981
0.05,SAFE-ALPHA,0,0.3125,5,914.8,315981
0.05,Matched terminal weighted e-BH,0,0.3125,5,1196,315981
0.075,SAFE-ALPHA,0,0.4375,7,935.285714286,315981
0.075,Matched terminal weighted e-BH,0,0.4375,7,1207.57142857,315981
0.1,SAFE-ALPHA,0,0.4375,7,753.857142857,315981
0.1,Matched terminal weighted e-BH,0,0.4375,7,1207.57142857,315981
0.125,SAFE-ALPHA,0,0.5,8,784.125,315981
0.125,Matched terminal weighted e-BH,0,0.4375,7,1207.57142857,315981
0.15,SAFE-ALPHA,0,0.6875,11,737.818181818,315981
0.15,Matched terminal weighted e-BH,0,0.5625,9,1187.33333333,315981
0.175,SAFE-ALPHA,0,0.6875,11,665.545454545,315981
0.175,Matched terminal weighted e-BH,0,0.625,10,1173.5,315981
0.2,SAFE-ALPHA,0,0.6875,11,627.818181818,315981
0.2,Matched terminal weighted e-BH,0,0.625,10,1173.5,315981
0.01,SAFE-ALPHA,0,0.5,8,784.125,315982
0.01,Matched terminal weighted e-BH,0,0.375,6,1171.5,315982
0.025,SAFE-ALPHA,0,0.6875,11,673.727272727,315982
0.025,Matched terminal weighted e-BH,0,0.5,8,1178.375,315982
0.05,SAFE-ALPHA,0,0.75,12,586.416666667,315982
0.05,Matched terminal weighted e-BH,0,0.6875,11,1162.18181818,315982
0.075,SAFE-ALPHA,0,0.75,12,551.416666667,315982
0.075,Matched terminal weighted e-BH,0,0.6875,11,1162.18181818,315982
0.1,SAFE-ALPHA,0,0.8125,13,547.538461538,315982
0.1,Matched terminal weighted e-BH,0,0.6875,11,1162.18181818,315982
0.125,SAFE-ALPHA,0,0.8125,13,527.923076923,315982
0.125,Matched terminal weighted e-BH,0,0.6875,11,1162.18181818,315982
0.15,SAFE-ALPHA,0,0.8125,13,513.307692308,315982
0.15,Matched terminal weighted e-BH,0,0.6875,11,1162.18181818,315982
0.175,SAFE-ALPHA,0,0.8125,13,508.692307692,315982
0.175,Matched terminal weighted e-BH,0,0.6875,11,1162.18181818,315982
0.2,SAFE-ALPHA,0,0.8125,13,478.307692308,315982
0.2,Matched terminal weighted e-BH,0,0.6875,11,1162.18181818,315982
0.01,SAFE-ALPHA,0,0.5,8,789.75,315983
0.01,Matched terminal weighted e-BH,0,0.5,8,1193.375,315983
0.025,SAFE-ALPHA,0,0.625,10,773.5,315983
0.025,Matched terminal weighted e-BH,0,0.5625,9,1184,315983
0.05,SAFE-ALPHA,0,0.875,14,786.357142857,315983
0.05,Matched terminal weighted e-BH,0,0.8125,13,1154,315983
0.075,SAFE-ALPHA,0,0.9375,15,752,315983
0.075,Matched terminal weighted e-BH,0,0.8125,13,1154,315983
0.1,SAFE-ALPHA,0,0.9375,15,737.333333333,315983
0.1,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315983
0.125,SAFE-ALPHA,0,0.9375,15,727.333333333,315983
0.125,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315983
0.15,SAFE-ALPHA,0,0.9375,15,699.333333333,315983
0.15,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315983
0.175,SAFE-ALPHA,0,0.9375,15,664.333333333,315983
0.175,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315983
0.2,SAFE-ALPHA,0,0.9375,15,646.333333333,315983
0.2,Matched terminal weighted e-BH,0,0.875,14,1147.57142857,315983
0.01,SAFE-ALPHA,0,0.5,8,602.875,315984
0.01,Matched terminal weighted e-BH,0,0.5,8,1199,315984
0.025,SAFE-ALPHA,0,0.5,8,496,315984
0.025,Matched terminal weighted e-BH,0,0.5,8,1199,315984
0.05,SAFE-ALPHA,0,0.75,12,621.416666667,315984
0.05,Matched terminal weighted e-BH,0,0.5625,9,1192.33333333,315984
0.075,SAFE-ALPHA,0,0.8125,13,571.384615385,315984
0.075,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,315984
0.1,SAFE-ALPHA,0,0.8125,13,538.307692308,315984
0.1,Matched terminal weighted e-BH,0,0.75,12,1174,315984
0.125,SAFE-ALPHA,0,0.8125,13,417.153846154,315984
0.125,Matched terminal weighted e-BH,0,0.75,12,1174,315984
0.15,SAFE-ALPHA,0,0.875,14,451.714285714,315984
0.15,Matched terminal weighted e-BH,0,0.75,12,1174,315984
0.175,SAFE-ALPHA,0,0.875,14,432.785714286,315984
0.175,Matched terminal weighted e-BH,0,0.75,12,1174,315984
0.2,SAFE-ALPHA,0,0.875,14,424.928571429,315984
0.2,Matched terminal weighted e-BH,0,0.8125,13,1164.38461538,315984
0.01,SAFE-ALPHA,0,0,0,,315985
0.01,Matched terminal weighted e-BH,0,0,0,,315985
0.025,SAFE-ALPHA,0,0,0,,315985
0.025,Matched terminal weighted e-BH,0,0,0,,315985
0.05,SAFE-ALPHA,0,0.25,4,943.5,315985
0.05,Matched terminal weighted e-BH,0,0,0,,315985
0.075,SAFE-ALPHA,0,0.25,4,908.5,315985
0.075,Matched terminal weighted e-BH,0,0.125,2,1251.5,315985
0.1,SAFE-ALPHA,0,0.375,6,826,315985
0.1,Matched terminal weighted e-BH,0,0.25,4,1221.5,315985
0.125,SAFE-ALPHA,0,0.4375,7,816,315985
0.125,Matched terminal weighted e-BH,0,0.375,6,1204,315985
0.15,SAFE-ALPHA,0,0.4375,7,775.285714286,315985
0.15,Matched terminal weighted e-BH,0,0.375,6,1204,315985
0.175,SAFE-ALPHA,0,0.4375,7,754.571428571,315985
0.175,Matched terminal weighted e-BH,0,0.375,6,1204,315985
0.2,SAFE-ALPHA,0,0.4375,7,726.714285714,315985
0.2,Matched terminal weighted e-BH,0,0.375,6,1204,315985
0.01,SAFE-ALPHA,0,0.875,14,801.357142857,315986
0.01,Matched terminal weighted e-BH,0,0.75,12,1165.25,315986
0.025,SAFE-ALPHA,0,0.9375,15,729,315986
0.025,Matched terminal weighted e-BH,0,0.875,14,1161.5,315986
0.05,SAFE-ALPHA,0,1,16,652.5625,315986
0.05,Matched terminal weighted e-BH,0,0.9375,15,1152,315986
0.075,SAFE-ALPHA,0,1,16,561.9375,315986
0.075,Matched terminal weighted e-BH,0,1,16,1145.5625,315986
0.1,SAFE-ALPHA,0,1,16,531,315986
0.1,Matched terminal weighted e-BH,0,1,16,1145.5625,315986
0.125,SAFE-ALPHA,0,1,16,515.6875,315986
0.125,Matched terminal weighted e-BH,0,1,16,1145.5625,315986
0.15,SAFE-ALPHA,0,1,16,506,315986
0.15,Matched terminal weighted e-BH,0,1,16,1145.5625,315986
0.175,SAFE-ALPHA,0,1,16,495.0625,315986
0.175,Matched terminal weighted e-BH,0,1,16,1145.5625,315986
0.2,SAFE-ALPHA,0,1,16,483.8125,315986
0.2,Matched terminal weighted e-BH,0,1,16,1145.5625,315986
0.01,SAFE-ALPHA,0,0.0625,1,936,315987
0.01,Matched terminal weighted e-BH,0,0,0,,315987
0.025,SAFE-ALPHA,0,0.125,2,978.5,315987
0.025,Matched terminal weighted e-BH,0,0,0,,315987
0.05,SAFE-ALPHA,0,0.25,4,814.75,315987
0.05,Matched terminal weighted e-BH,0,0,0,,315987
0.075,SAFE-ALPHA,0,0.25,4,791,315987
0.075,Matched terminal weighted e-BH,0,0,0,,315987
0.1,SAFE-ALPHA,0,0.25,4,711,315987
0.1,Matched terminal weighted e-BH,0,0.0625,1,1259,315987
0.125,SAFE-ALPHA,0,0.5,8,828.5,315987
0.125,Matched terminal weighted e-BH,0,0.25,4,1236.5,315987
0.15,SAFE-ALPHA,0,0.5,8,809.75,315987
0.15,Matched terminal weighted e-BH,0,0.25,4,1236.5,315987
0.175,SAFE-ALPHA,0,0.5,8,783.5,315987
0.175,Matched terminal weighted e-BH,0,0.25,4,1236.5,315987
0.2,SAFE-ALPHA,0,0.5,8,779.75,315987
0.2,Matched terminal weighted e-BH,0,0.3125,5,1217,315987
0.01,SAFE-ALPHA,0,0.375,6,842.666666667,315988
0.01,Matched terminal weighted e-BH,0,0.3125,5,1211,315988
0.025,SAFE-ALPHA,0,0.4375,7,766.714285714,315988
0.025,Matched terminal weighted e-BH,0,0.3125,5,1211,315988
0.05,SAFE-ALPHA,0,0.6875,11,783.727272727,315988
0.05,Matched terminal weighted e-BH,0,0.5625,9,1165.66666667,315988
0.075,SAFE-ALPHA,0,0.75,12,754.75,315988
0.075,Matched terminal weighted e-BH,0,0.5625,9,1165.66666667,315988
0.1,SAFE-ALPHA,0,0.8125,13,743.307692308,315988
0.1,Matched terminal weighted e-BH,0,0.5625,9,1165.66666667,315988
0.125,SAFE-ALPHA,0,0.875,14,732.428571429,315988
0.125,Matched terminal weighted e-BH,0,0.625,10,1143.5,315988
0.15,SAFE-ALPHA,0,0.875,14,708.857142857,315988
0.15,Matched terminal weighted e-BH,0,0.625,10,1143.5,315988
0.175,SAFE-ALPHA,0,0.875,14,707.071428571,315988
0.175,Matched terminal weighted e-BH,0,0.625,10,1143.5,315988
0.2,SAFE-ALPHA,0,0.875,14,702.071428571,315988
0.2,Matched terminal weighted e-BH,0,0.625,10,1143.5,315988
0.01,SAFE-ALPHA,0,0,0,,315989
0.01,Matched terminal weighted e-BH,0,0,0,,315989
0.025,SAFE-ALPHA,0,0,0,,315989
0.025,Matched terminal weighted e-BH,0,0,0,,315989
0.05,SAFE-ALPHA,0,0,0,,315989
0.05,Matched terminal weighted e-BH,0,0,0,,315989
0.075,SAFE-ALPHA,0,0,0,,315989
0.075,Matched terminal weighted e-BH,0,0,0,,315989
0.1,SAFE-ALPHA,0,0.0625,1,1166,315989
0.1,Matched terminal weighted e-BH,0,0,0,,315989
0.125,SAFE-ALPHA,0,0.0625,1,1166,315989
0.125,Matched terminal weighted e-BH,0,0.0625,1,1259,315989
0.15,SAFE-ALPHA,0,0.0625,1,1161,315989
0.15,Matched terminal weighted e-BH,0,0.0625,1,1259,315989
0.175,SAFE-ALPHA,0,0.0625,1,1141,315989
0.175,Matched terminal weighted e-BH,0,0.0625,1,1259,315989
0.2,SAFE-ALPHA,0,0.0625,1,236,315989
0.2,Matched terminal weighted e-BH,0,0.0625,1,1259,315989
0.01,SAFE-ALPHA,0,0.375,6,625.166666667,315990
0.01,Matched terminal weighted e-BH,0,0.3125,5,1187,315990
0.025,SAFE-ALPHA,0,0.625,10,605.5,315990
0.025,Matched terminal weighted e-BH,0,0.4375,7,1169,315990
0.05,SAFE-ALPHA,0,0.75,12,626.833333333,315990
0.05,Matched terminal weighted e-BH,0,0.5625,9,1147.33333333,315990
0.075,SAFE-ALPHA,0,0.8125,13,567.923076923,315990
0.075,Matched terminal weighted e-BH,0,0.625,10,1148,315990
0.1,SAFE-ALPHA,0,0.9375,15,519.333333333,315990
0.1,Matched terminal weighted e-BH,0,0.625,10,1148,315990
0.125,SAFE-ALPHA,0,0.9375,15,487,315990
0.125,Matched terminal weighted e-BH,0,0.75,12,1144,315990
0.15,SAFE-ALPHA,0,0.9375,15,472.333333333,315990
0.15,Matched terminal weighted e-BH,0,0.75,12,1144,315990
0.175,SAFE-ALPHA,0,0.9375,15,452.333333333,315990
0.175,Matched terminal weighted e-BH,0,0.875,14,1155.07142857,315990
0.2,SAFE-ALPHA,0,0.9375,15,380.666666667,315990
0.2,Matched terminal weighted e-BH,0,0.875,14,1155.07142857,315990
0.01,SAFE-ALPHA,0,0.1875,3,929.333333333,315991
0.01,Matched terminal weighted e-BH,0,0.125,2,1244,315991
0.025,SAFE-ALPHA,0,0.5,8,1025.125,315991
0.025,Matched terminal weighted e-BH,0,0.375,6,1194,315991
0.05,SAFE-ALPHA,0,0.5625,9,911.555555556,315991
0.05,Matched terminal weighted e-BH,0,0.5,8,1197.125,315991
0.075,SAFE-ALPHA,0,0.5625,9,851,315991
0.075,Matched terminal weighted e-BH,0,0.5625,9,1199,315991
0.1,SAFE-ALPHA,0,0.5625,9,767.666666667,315991
0.1,Matched terminal weighted e-BH,0,0.5625,9,1199,315991
0.125,SAFE-ALPHA,0,0.625,10,786,315991
0.125,Matched terminal weighted e-BH,0,0.5625,9,1199,315991
0.15,SAFE-ALPHA,0,0.625,10,779.5,315991
0.15,Matched terminal weighted e-BH,0,0.5625,9,1199,315991
0.175,SAFE-ALPHA,0,0.625,10,740,315991
0.175,Matched terminal weighted e-BH,0,0.5625,9,1199,315991
0.2,SAFE-ALPHA,0,0.625,10,735.5,315991
0.2,Matched terminal weighted e-BH,0,0.5625,9,1199,315991
0.01,SAFE-ALPHA,0,0.0625,1,1016,315992
0.01,Matched terminal weighted e-BH,0,0.0625,1,1244,315992
0.025,SAFE-ALPHA,0,0.0625,1,896,315992
0.025,Matched terminal weighted e-BH,0,0.0625,1,1244,315992
0.05,SAFE-ALPHA,0,0.0625,1,871,315992
0.05,Matched terminal weighted e-BH,0,0.0625,1,1244,315992
0.075,SAFE-ALPHA,0,0.3125,5,754,315992
0.075,Matched terminal weighted e-BH,0,0.0625,1,1244,315992
0.1,SAFE-ALPHA,0,0.375,6,764.333333333,315992
0.1,Matched terminal weighted e-BH,0,0.0625,1,1244,315992
0.125,SAFE-ALPHA,0,0.375,6,759.333333333,315992
0.125,Matched terminal weighted e-BH,0,0.0625,1,1244,315992
0.15,SAFE-ALPHA,0,0.4375,7,708.857142857,315992
0.15,Matched terminal weighted e-BH,0,0.25,4,1184,315992
0.175,SAFE-ALPHA,0,0.4375,7,670.285714286,315992
0.175,Matched terminal weighted e-BH,0,0.375,6,1174,315992
0.2,SAFE-ALPHA,0,0.4375,7,642.428571429,315992
0.2,Matched terminal weighted e-BH,0,0.375,6,1174,315992
0.01,SAFE-ALPHA,0,0.625,10,577,315993
0.01,Matched terminal weighted e-BH,0,0.625,10,1160,315993
0.025,SAFE-ALPHA,0,0.6875,11,580.090909091,315993
0.025,Matched terminal weighted e-BH,0,0.6875,11,1159.45454545,315993
0.05,SAFE-ALPHA,0,0.8125,13,531,315993
0.05,Matched terminal weighted e-BH,0,0.8125,13,1150.53846154,315993
0.075,SAFE-ALPHA,0,0.875,14,464.214285714,315993
0.075,Matched terminal weighted e-BH,0,0.875,14,1144.35714286,315993
0.1,SAFE-ALPHA,0,0.9375,15,419,315993
0.1,Matched terminal weighted e-BH,0,0.875,14,1144.35714286,315993
0.125,SAFE-ALPHA,0,0.9375,15,406,315993
0.125,Matched terminal weighted e-BH,0,0.875,14,1144.35714286,315993
0.15,SAFE-ALPHA,0,0.9375,15,366,315993
0.15,Matched terminal weighted e-BH,0,0.875,14,1144.35714286,315993
0.175,SAFE-ALPHA,0,0.9375,15,349.666666667,315993
0.175,Matched terminal weighted e-BH,0,0.875,14,1144.35714286,315993
0.2,SAFE-ALPHA,0,0.9375,15,342,315993
0.2,Matched terminal weighted e-BH,0,0.875,14,1144.35714286,315993
0.01,SAFE-ALPHA,0,0.3125,5,767,315994
0.01,Matched terminal weighted e-BH,0,0.0625,1,1229,315994
0.025,SAFE-ALPHA,0,0.375,6,746.833333333,315994
0.025,Matched terminal weighted e-BH,0,0.3125,5,1178,315994
0.05,SAFE-ALPHA,0,0.5,8,593.5,315994
0.05,Matched terminal weighted e-BH,0,0.4375,7,1177.57142857,315994
0.075,SAFE-ALPHA,0,0.5,8,489.75,315994
0.075,Matched terminal weighted e-BH,0,0.4375,7,1177.57142857,315994
0.1,SAFE-ALPHA,0,0.75,12,630.833333333,315994
0.1,Matched terminal weighted e-BH,0,0.4375,7,1177.57142857,315994
0.125,SAFE-ALPHA,0,0.75,12,583.916666667,315994
0.125,Matched terminal weighted e-BH,0,0.5625,9,1175.66666667,315994
0.15,SAFE-ALPHA,0,0.75,12,469.75,315994
0.15,Matched terminal weighted e-BH,0,0.625,10,1182.5,315994
0.175,SAFE-ALPHA,0,0.75,12,443.5,315994
0.175,Matched terminal weighted e-BH,0,0.625,10,1182.5,315994
0.2,SAFE-ALPHA,0,0.75,12,428.083333333,315994
0.2,Matched terminal weighted e-BH,0,0.625,10,1182.5,315994
0.01,SAFE-ALPHA,0,0.0625,1,1041,315995
0.01,Matched terminal weighted e-BH,0,0.0625,1,1094,315995
0.025,SAFE-ALPHA,0,0.1875,3,956,315995
0.025,Matched terminal weighted e-BH,0,0.1875,3,1169,315995
0.05,SAFE-ALPHA,0,0.375,6,1039.33333333,315995
0.05,Matched terminal weighted e-BH,0,0.3125,5,1202,315995
0.075,SAFE-ALPHA,0,0.625,10,1015.5,315995
0.075,Matched terminal weighted e-BH,0,0.4375,7,1188.28571429,315995
0.1,SAFE-ALPHA,0,0.6875,11,905.090909091,315995
0.1,Matched terminal weighted e-BH,0,0.6875,11,1177.18181818,315995
0.125,SAFE-ALPHA,0,0.75,12,899.75,315995
0.125,Matched terminal weighted e-BH,0,0.6875,11,1177.18181818,315995
0.15,SAFE-ALPHA,0,0.8125,13,891.769230769,315995
0.15,Matched terminal weighted e-BH,0,0.75,12,1166.5,315995
0.175,SAFE-ALPHA,0,0.8125,13,875.230769231,315995
0.175,Matched terminal weighted e-BH,0,0.75,12,1166.5,315995
0.2,SAFE-ALPHA,0,0.8125,13,839.846153846,315995
0.2,Matched terminal weighted e-BH,0,0.75,12,1166.5,315995
0.01,SAFE-ALPHA,0,0.125,2,818.5,315996
0.01,Matched terminal weighted e-BH,0,0.125,2,1236.5,315996
0.025,SAFE-ALPHA,0,0.1875,3,747.666666667,315996
0.025,Matched terminal weighted e-BH,0,0.125,2,1236.5,315996
0.05,SAFE-ALPHA,0,0.3125,5,845,315996
0.05,Matched terminal weighted e-BH,0,0.25,4,1236.5,315996
0.075,SAFE-ALPHA,0,0.375,6,530.166666667,315996
0.075,Matched terminal weighted e-BH,0,0.25,4,1236.5,315996
0.1,SAFE-ALPHA,0,0.375,6,321,315996
0.1,Matched terminal weighted e-BH,0,0.3125,5,1226,315996
0.125,SAFE-ALPHA,0,0.4375,7,390.285714286,315996
0.125,Matched terminal weighted e-BH,0,0.4375,7,1203.28571429,315996
0.15,SAFE-ALPHA,0,0.4375,7,325.285714286,315996
0.15,Matched terminal weighted e-BH,0,0.4375,7,1203.28571429,315996
0.175,SAFE-ALPHA,0,0.4375,7,321,315996
0.175,Matched terminal weighted e-BH,0,0.4375,7,1203.28571429,315996
0.2,SAFE-ALPHA,0,0.4375,7,306.714285714,315996
0.2,Matched terminal weighted e-BH,0,0.4375,7,1203.28571429,315996
0.01,SAFE-ALPHA,0,0.4375,7,841.714285714,315997
0.01,Matched terminal weighted e-BH,0,0.0625,1,1259,315997
0.025,SAFE-ALPHA,0,0.5625,9,745.444444444,315997
0.025,Matched terminal weighted e-BH,0,0.375,6,1214,315997
0.05,SAFE-ALPHA,0,0.5625,9,537.111111111,315997
0.05,Matched terminal weighted e-BH,0,0.4375,7,1203.28571429,315997
0.075,SAFE-ALPHA,0,0.5625,9,463.777777778,315997
0.075,Matched terminal weighted e-BH,0,0.5625,9,1189,315997
0.1,SAFE-ALPHA,0,0.625,10,448.5,315997
0.1,Matched terminal weighted e-BH,0,0.5625,9,1189,315997
0.125,SAFE-ALPHA,0,0.625,10,433.5,315997
0.125,Matched terminal weighted e-BH,0,0.5625,9,1189,315997
0.15,SAFE-ALPHA,0,0.625,10,409,315997
0.15,Matched terminal weighted e-BH,0,0.5625,9,1189,315997
0.175,SAFE-ALPHA,0,0.625,10,393,315997
0.175,Matched terminal weighted e-BH,0,0.5625,9,1189,315997
0.2,SAFE-ALPHA,0,0.625,10,375.5,315997
0.2,Matched terminal weighted e-BH,0,0.5625,9,1189,315997
0.01,SAFE-ALPHA,0,0.625,10,961.3,315998
0.01,Matched terminal weighted e-BH,0,0.625,10,1170.5,315998
0.025,SAFE-ALPHA,0,0.6875,11,882.818181818,315998
0.025,Matched terminal weighted e-BH,0,0.6875,11,1169,315998
0.05,SAFE-ALPHA,0,0.6875,11,818.727272727,315998
0.05,Matched terminal weighted e-BH,0,0.6875,11,1169,315998
0.075,SAFE-ALPHA,0,0.8125,13,675.076923077,315998
0.075,Matched terminal weighted e-BH,0,0.75,12,1157.75,315998
0.1,SAFE-ALPHA,0,0.8125,13,624.461538462,315998
0.1,Matched terminal weighted e-BH,0,0.8125,13,1155.15384615,315998
0.125,SAFE-ALPHA,0,0.875,14,632.071428571,315998
0.125,Matched terminal weighted e-BH,0,0.875,14,1143.28571429,315998
0.15,SAFE-ALPHA,0,0.875,14,604.214285714,315998
0.15,Matched terminal weighted e-BH,0,0.875,14,1143.28571429,315998
0.175,SAFE-ALPHA,0,0.9375,15,559.333333333,315998
0.175,Matched terminal weighted e-BH,0,0.875,14,1143.28571429,315998
0.2,SAFE-ALPHA,0,0.9375,15,455.666666667,315998
0.2,Matched terminal weighted e-BH,0,0.875,14,1143.28571429,315998
0.01,SAFE-ALPHA,0,0.5,8,1036.625,315999
0.01,Matched terminal weighted e-BH,0,0.5,8,1200.875,315999
0.025,SAFE-ALPHA,0,0.5,8,796.625,315999
0.025,Matched terminal weighted e-BH,0,0.5,8,1200.875,315999
0.05,SAFE-ALPHA,0,0.5625,9,742.111111111,315999
0.05,Matched terminal weighted e-BH,0,0.5625,9,1199,315999
0.075,SAFE-ALPHA,0,0.5625,9,702.111111111,315999
0.075,Matched terminal weighted e-BH,0,0.5625,9,1199,315999
0.1,SAFE-ALPHA,0,0.625,10,715.5,315999
0.1,Matched terminal weighted e-BH,0,0.625,10,1191.5,315999
0.125,SAFE-ALPHA,0,0.6875,11,694.181818182,315999
0.125,Matched terminal weighted e-BH,0,0.6875,11,1182.63636364,315999
