design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
campaign-hedged,1.0,0.5,41000014,0.0,0.0625,0.0625,1.0,1,621.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000015,0.0,0.375,0.375,1.0,6,984.3333333333334,0.0,0.25
telescoping-hedged,1.0,0.5,41000015,0.0,0.0625,0.0625,1.0,1,1231.0,0.0,0.0625
campaign-fixed,1.0,0.5,41000015,0.0,0.25,0.25,1.0,4,1159.75,0.0,0.25
campaign-hedged,1.0,0.5,41000015,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000016,0.0,0.5625,0.5625,1.0,9,842.6666666666666,0.0,0.125
telescoping-hedged,1.0,0.5,41000016,0.0,0.25,0.25,1.0,4,844.75,0.0,0.0625
campaign-fixed,1.0,0.5,41000016,0.0,0.5625,0.5625,1.0,9,837.6666666666666,0.0,0.0625
campaign-hedged,1.0,0.5,41000016,0.0,0.1875,0.1875,1.0,3,917.6666666666666,0.0,0.0625
telescoping-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,530.2307692307693,0.0,0.3125
telescoping-hedged,1.0,0.5,41000017,0.0,0.375,0.375,1.0,6,657.6666666666666,0.0,0.25
campaign-fixed,1.0,0.5,41000017,0.0,0.8125,0.8125,1.0,13,489.84615384615387,0.0,0.5
campaign-hedged,1.0,0.5,41000017,0.0,0.5625,0.5625,1.0,9,909.8888888888889,0.0,0.3125
telescoping-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-fixed,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000018,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000019,0.0,0.375,0.375,1.0,6,682.6666666666666,0.0,0.375
telescoping-hedged,1.0,0.5,41000019,0.0,0.4375,0.4375,1.0,7,740.2857142857143,0.0,0.3125
campaign-fixed,1.0,0.5,41000019,0.0,0.4375,0.4375,1.0,7,732.4285714285714,0.0,0.4375
campaign-hedged,1.0,0.5,41000019,0.0,0.4375,0.4375,1.0,7,738.8571428571429,0.0,0.375
telescoping-fixed,1.0,0.5,41000020,0.0,0.1875,0.1875,1.0,3,439.3333333333333,0.0,0.125
telescoping-hedged,1.0,0.5,41000020,0.0,0.1875,0.1875,1.0,3,737.6666666666666,0.0,0.1875
campaign-fixed,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,423.5,0.0,0.125
campaign-hedged,1.0,0.5,41000020,0.0,0.125,0.125,1.0,2,581.0,0.0,0.125
