design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
campaign75-fixed-daily,1.5,0.5,315955,11-20,6,0
campaign75-fixed-daily,1.5,0.5,315955,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315955,36-50,0,0
telescoping-fixed,1.5,0.5,315956,1-5,5,4
telescoping-fixed,1.5,0.5,315956,6-10,5,3
telescoping-fixed,1.5,0.5,315956,11-20,4,1
telescoping-fixed,1.5,0.5,315956,21-35,2,1
telescoping-fixed,1.5,0.5,315956,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315956,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315956,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315956,11-20,4,2
campaign75-fixed-daily,1.5,0.5,315956,21-35,2,2
campaign75-fixed-daily,1.5,0.5,315956,36-50,0,0
telescoping-fixed,1.5,0.5,315957,1-5,5,5
telescoping-fixed,1.5,0.5,315957,6-10,5,4
telescoping-fixed,1.5,0.5,315957,11-20,5,4
telescoping-fixed,1.5,0.5,315957,21-35,1,0
telescoping-fixed,1.5,0.5,315957,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315957,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315957,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315957,11-20,5,5
campaign75-fixed-daily,1.5,0.5,315957,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315957,36-50,0,0
telescoping-fixed,1.5,0.5,315958,1-5,5,5
telescoping-fixed,1.5,0.5,315958,6-10,4,4
telescoping-fixed,1.5,0.5,315958,11-20,7,6
telescoping-fixed,1.5,0.5,315958,21-35,0,0
telescoping-fixed,1.5,0.5,315958,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315958,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315958,6-10,4,4
campaign75-fixed-daily,1.5,0.5,315958,11-20,7,7
campaign75-fixed-daily,1.5,0.5,315958,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315958,36-50,0,0
telescoping-fixed,1.5,0.5,315959,1-5,5,5
telescoping-fixed,1.5,0.5,315959,6-10,5,4
telescoping-fixed,1.5,0.5,315959,11-20,4,2
telescoping-fixed,1.5,0.5,315959,21-35,2,0
telescoping-fixed,1.5,0.5,315959,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315959,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315959,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315959,11-20,4,2
campaign75-fixed-daily,1.5,0.5,315959,21-35,2,0
campaign75-fixed-daily,1.5,0.5,315959,36-50,0,0
telescoping-fixed,1.5,0.5,315960,1-5,5,5
telescoping-fixed,1.5,0.5,315960,6-10,5,5
telescoping-fixed,1.5,0.5,315960,11-20,6,3
telescoping-fixed,1.5,0.5,315960,21-35,0,0
telescoping-fixed,1.5,0.5,315960,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315960,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315960,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315960,11-20,6,3
campaign75-fixed-daily,1.5,0.5,315960,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315960,36-50,0,0
telescoping-fixed,1.5,0.5,315961,1-5,5,5
telescoping-fixed,1.5,0.5,315961,6-10,5,4
telescoping-fixed,1.5,0.5,315961,11-20,5,2
telescoping-fixed,1.5,0.5,315961,21-35,1,0
telescoping-fixed,1.5,0.5,315961,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315961,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315961,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315961,11-20,5,4
campaign75-fixed-daily,1.5,0.5,315961,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315961,36-50,0,0
telescoping-fixed,1.5,0.5,315962,1-5,5,0
telescoping-fixed,1.5,0.5,315962,6-10,5,0
telescoping-fixed,1.5,0.5,315962,11-20,5,0
telescoping-fixed,1.5,0.5,315962,21-35,1,0
telescoping-fixed,1.5,0.5,315962,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315962,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315962,6-10,5,0
campaign75-fixed-daily,1.5,0.5,315962,11-20,5,0
campaign75-fixed-daily,1.5,0.5,315962,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315962,36-50,0,0
telescoping-fixed,1.5,0.5,315963,1-5,5,4
telescoping-fixed,1.5,0.5,315963,6-10,5,4
telescoping-fixed,1.5,0.5,315963,11-20,5,4
telescoping-fixed,1.5,0.5,315963,21-35,1,0
telescoping-fixed,1.5,0.5,315963,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315963,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315963,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315963,11-20,5,4
campaign75-fixed-daily,1.5,0.5,315963,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315963,36-50,0,0
telescoping-fixed,1.5,0.5,315964,1-5,5,5
telescoping-fixed,1.5,0.5,315964,6-10,5,3
telescoping-fixed,1.5,0.5,315964,11-20,5,1
telescoping-fixed,1.5,0.5,315964,21-35,1,0
telescoping-fixed,1.5,0.5,315964,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315964,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315964,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315964,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315964,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315964,36-50,0,0
telescoping-fixed,1.5,0.5,315965,1-5,5,5
telescoping-fixed,1.5,0.5,315965,6-10,5,5
telescoping-fixed,1.5,0.5,315965,11-20,5,1
telescoping-fixed,1.5,0.5,315965,21-35,0,0
telescoping-fixed,1.5,0.5,315965,36-50,1,0
campaign75-fixed-daily,1.5,0.5,315965,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315965,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315965,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315965,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315965,36-50,1,0
telescoping-fixed,1.5,0.5,315966,1-5,5,5
telescoping-fixed,1.5,0.5,315966,6-10,5,3
telescoping-fixed,1.5,0.5,315966,11-20,6,2
telescoping-fixed,1.5,0.5,315966,21-35,0,0
telescoping-fixed,1.5,0.5,315966,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315966,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315966,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315966,11-20,6,4
campaign75-fixed-daily,1.5,0.5,315966,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315966,36-50,0,0
telescoping-fixed,1.5,0.5,315967,1-5,5,3
telescoping-fixed,1.5,0.5,315967,6-10,4,1
telescoping-fixed,1.5,0.5,315967,11-20,5,0
telescoping-fixed,1.5,0.5,315967,21-35,2,0
telescoping-fixed,1.5,0.5,315967,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315967,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315967,6-10,4,1
campaign75-fixed-daily,1.5,0.5,315967,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315967,21-35,2,1
campaign75-fixed-daily,1.5,0.5,315967,36-50,0,0
telescoping-fixed,1.5,0.5,315968,1-5,5,5
telescoping-fixed,1.5,0.5,315968,6-10,5,3
telescoping-fixed,1.5,0.5,315968,11-20,6,1
telescoping-fixed,1.5,0.5,315968,21-35,0,0
telescoping-fixed,1.5,0.5,315968,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315968,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315968,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315968,11-20,6,2
campaign75-fixed-daily,1.5,0.5,315968,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315968,36-50,0,0
telescoping-fixed,1.5,0.5,315969,1-5,5,3
telescoping-fixed,1.5,0.5,315969,6-10,5,2
telescoping-fixed,1.5,0.5,315969,11-20,4,1
telescoping-fixed,1.5,0.5,315969,21-35,2,0
telescoping-fixed,1.5,0.5,315969,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315969,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315969,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315969,11-20,4,1
campaign75-fixed-daily,1.5,0.5,315969,21-35,2,0
campaign75-fixed-daily,1.5,0.5,315969,36-50,0,0
telescoping-fixed,1.5,0.5,315970,1-5,5,5
telescoping-fixed,1.5,0.5,315970,6-10,5,4
telescoping-fixed,1.5,0.5,315970,11-20,6,1
telescoping-fixed,1.5,0.5,315970,21-35,0,0
telescoping-fixed,1.5,0.5,315970,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315970,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315970,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315970,11-20,6,4
campaign75-fixed-daily,1.5,0.5,315970,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315970,36-50,0,0
telescoping-fixed,1.5,0.5,315971,1-5,5,4
telescoping-fixed,1.5,0.5,315971,6-10,4,3
telescoping-fixed,1.5,0.5,315971,11-20,6,2
telescoping-fixed,1.5,0.5,315971,21-35,1,0
telescoping-fixed,1.5,0.5,315971,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315971,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315971,6-10,4,3
campaign75-fixed-daily,1.5,0.5,315971,11-20,6,5
campaign75-fixed-daily,1.5,0.5,315971,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315971,36-50,0,0
telescoping-fixed,1.5,0.5,315972,1-5,5,5
telescoping-fixed,1.5,0.5,315972,6-10,4,1
telescoping-fixed,1.5,0.5,315972,11-20,6,0
telescoping-fixed,1.5,0.5,315972,21-35,1,0
telescoping-fixed,1.5,0.5,315972,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315972,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315972,6-10,4,1
campaign75-fixed-daily,1.5,0.5,315972,11-20,6,1
campaign75-fixed-daily,1.5,0.5,315972,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315972,36-50,0,0
telescoping-fixed,1.5,0.5,315973,1-5,5,5
telescoping-fixed,1.5,0.5,315973,6-10,5,1
telescoping-fixed,1.5,0.5,315973,11-20,6,0
telescoping-fixed,1.5,0.5,315973,21-35,0,0
telescoping-fixed,1.5,0.5,315973,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315973,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315973,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315973,11-20,6,0
campaign75-fixed-daily,1.5,0.5,315973,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315973,36-50,0,0
telescoping-fixed,1.5,0.5,315974,1-5,5,3
telescoping-fixed,1.5,0.5,315974,6-10,4,2
telescoping-fixed,1.5,0.5,315974,11-20,6,3
telescoping-fixed,1.5,0.5,315974,21-35,1,0
telescoping-fixed,1.5,0.5,315974,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315974,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315974,6-10,4,2
campaign75-fixed-daily,1.5,0.5,315974,11-20,6,4
campaign75-fixed-daily,1.5,0.5,315974,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315974,36-50,0,0
telescoping-fixed,1.5,0.5,315975,1-5,5,0
telescoping-fixed,1.5,0.5,315975,6-10,5,0
telescoping-fixed,1.5,0.5,315975,11-20,6,0
telescoping-fixed,1.5,0.5,315975,21-35,0,0
telescoping-fixed,1.5,0.5,315975,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315975,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315975,6-10,5,0
campaign75-fixed-daily,1.5,0.5,315975,11-20,6,0
campaign75-fixed-daily,1.5,0.5,315975,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315975,36-50,0,0
telescoping-fixed,1.5,0.5,315976,1-5,5,5
telescoping-fixed,1.5,0.5,315976,6-10,5,4
telescoping-fixed,1.5,0.5,315976,11-20,5,3
telescoping-fixed,1.5,0.5,315976,21-35,1,0
telescoping-fixed,1.5,0.5,315976,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315976,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315976,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315976,11-20,5,4
campaign75-fixed-daily,1.5,0.5,315976,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315976,36-50,0,0
telescoping-fixed,1.5,0.5,315977,1-5,5,5
telescoping-fixed,1.5,0.5,315977,6-10,5,5
telescoping-fixed,1.5,0.5,315977,11-20,6,3
telescoping-fixed,1.5,0.5,315977,21-35,0,0
telescoping-fixed,1.5,0.5,315977,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315977,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315977,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315977,11-20,6,5
campaign75-fixed-daily,1.5,0.5,315977,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315977,36-50,0,0
telescoping-fixed,1.5,0.5,315978,1-5,5,5
telescoping-fixed,1.5,0.5,315978,6-10,4,1
telescoping-fixed,1.5,0.5,315978,11-20,5,0
telescoping-fixed,1.5,0.5,315978,21-35,1,0
telescoping-fixed,1.5,0.5,315978,36-50,1,0
campaign75-fixed-daily,1.5,0.5,315978,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315978,6-10,4,1
campaign75-fixed-daily,1.5,0.5,315978,11-20,5,0
campaign75-fixed-daily,1.5,0.5,315978,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315978,36-50,1,0
telescoping-fixed,1.5,0.5,315979,1-5,5,4
telescoping-fixed,1.5,0.5,315979,6-10,5,5
telescoping-fixed,1.5,0.5,315979,11-20,6,3
telescoping-fixed,1.5,0.5,315979,21-35,0,0
telescoping-fixed,1.5,0.5,315979,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315979,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315979,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315979,11-20,6,5
campaign75-fixed-daily,1.5,0.5,315979,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315979,36-50,0,0
telescoping-fixed,1.5,0.5,315980,1-5,5,3
telescoping-fixed,1.5,0.5,315980,6-10,5,1
telescoping-fixed,1.5,0.5,315980,11-20,5,0
telescoping-fixed,1.5,0.5,315980,21-35,1,0
telescoping-fixed,1.5,0.5,315980,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315980,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315980,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315980,11-20,5,0
campaign75-fixed-daily,1.5,0.5,315980,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315980,36-50,0,0
telescoping-fixed,1.5,0.5,315981,1-5,5,5
telescoping-fixed,1.5,0.5,315981,6-10,5,2
telescoping-fixed,1.5,0.5,315981,11-20,6,0
telescoping-fixed,1.5,0.5,315981,21-35,0,0
telescoping-fixed,1.5,0.5,315981,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315981,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315981,6-10,5,3
campaign75-fixed-daily,1.5,0.5,315981,11-20,6,3
campaign75-fixed-daily,1.5,0.5,315981,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315981,36-50,0,0
telescoping-fixed,1.5,0.5,315982,1-5,5,5
telescoping-fixed,1.5,0.5,315982,6-10,4,4
telescoping-fixed,1.5,0.5,315982,11-20,7,4
telescoping-fixed,1.5,0.5,315982,21-35,0,0
telescoping-fixed,1.5,0.5,315982,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315982,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315982,6-10,4,4
campaign75-fixed-daily,1.5,0.5,315982,11-20,7,5
campaign75-fixed-daily,1.5,0.5,315982,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315982,36-50,0,0
telescoping-fixed,1.5,0.5,315983,1-5,5,5
telescoping-fixed,1.5,0.5,315983,6-10,5,5
telescoping-fixed,1.5,0.5,315983,11-20,5,5
telescoping-fixed,1.5,0.5,315983,21-35,1,0
telescoping-fixed,1.5,0.5,315983,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315983,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315983,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315983,11-20,5,5
campaign75-fixed-daily,1.5,0.5,315983,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315983,36-50,0,0
telescoping-fixed,1.5,0.5,315984,1-5,5,5
telescoping-fixed,1.5,0.5,315984,6-10,5,5
telescoping-fixed,1.5,0.5,315984,11-20,6,3
telescoping-fixed,1.5,0.5,315984,21-35,0,0
telescoping-fixed,1.5,0.5,315984,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315984,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315984,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315984,11-20,6,5
campaign75-fixed-daily,1.5,0.5,315984,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315984,36-50,0,0
telescoping-fixed,1.5,0.5,315985,1-5,5,5
telescoping-fixed,1.5,0.5,315985,6-10,5,1
telescoping-fixed,1.5,0.5,315985,11-20,5,0
telescoping-fixed,1.5,0.5,315985,21-35,1,0
telescoping-fixed,1.5,0.5,315985,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315985,1-5,5,3
campaign75-fixed-daily,1.5,0.5,315985,6-10,5,2
campaign75-fixed-daily,1.5,0.5,315985,11-20,5,0
campaign75-fixed-daily,1.5,0.5,315985,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315985,36-50,0,0
telescoping-fixed,1.5,0.5,315986,1-5,5,5
telescoping-fixed,1.5,0.5,315986,6-10,5,5
telescoping-fixed,1.5,0.5,315986,11-20,6,6
telescoping-fixed,1.5,0.5,315986,21-35,0,0
telescoping-fixed,1.5,0.5,315986,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315986,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315986,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315986,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315986,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315986,36-50,0,0
telescoping-fixed,1.5,0.5,315987,1-5,5,4
telescoping-fixed,1.5,0.5,315987,6-10,5,0
telescoping-fixed,1.5,0.5,315987,11-20,4,0
telescoping-fixed,1.5,0.5,315987,21-35,2,0
telescoping-fixed,1.5,0.5,315987,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315987,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315987,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315987,11-20,4,0
campaign75-fixed-daily,1.5,0.5,315987,21-35,2,0
campaign75-fixed-daily,1.5,0.5,315987,36-50,0,0
telescoping-fixed,1.5,0.5,315988,1-5,5,5
telescoping-fixed,1.5,0.5,315988,6-10,5,5
telescoping-fixed,1.5,0.5,315988,11-20,5,2
telescoping-fixed,1.5,0.5,315988,21-35,1,1
telescoping-fixed,1.5,0.5,315988,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315988,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315988,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315988,11-20,5,4
campaign75-fixed-daily,1.5,0.5,315988,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315988,36-50,0,0
telescoping-fixed,1.5,0.5,315989,1-5,5,1
telescoping-fixed,1.5,0.5,315989,6-10,5,0
telescoping-fixed,1.5,0.5,315989,11-20,6,0
telescoping-fixed,1.5,0.5,315989,21-35,0,0
telescoping-fixed,1.5,0.5,315989,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315989,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315989,6-10,5,0
campaign75-fixed-daily,1.5,0.5,315989,11-20,6,0
campaign75-fixed-daily,1.5,0.5,315989,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315989,36-50,0,0
telescoping-fixed,1.5,0.5,315990,1-5,5,5
telescoping-fixed,1.5,0.5,315990,6-10,5,5
telescoping-fixed,1.5,0.5,315990,11-20,5,5
telescoping-fixed,1.5,0.5,315990,21-35,1,0
telescoping-fixed,1.5,0.5,315990,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315990,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315990,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315990,11-20,5,5
campaign75-fixed-daily,1.5,0.5,315990,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315990,36-50,0,0
telescoping-fixed,1.5,0.5,315991,1-5,5,5
telescoping-fixed,1.5,0.5,315991,6-10,5,4
telescoping-fixed,1.5,0.5,315991,11-20,4,0
telescoping-fixed,1.5,0.5,315991,21-35,2,0
telescoping-fixed,1.5,0.5,315991,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315991,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315991,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315991,11-20,4,0
campaign75-fixed-daily,1.5,0.5,315991,21-35,2,0
campaign75-fixed-daily,1.5,0.5,315991,36-50,0,0
telescoping-fixed,1.5,0.5,315992,1-5,5,3
telescoping-fixed,1.5,0.5,315992,6-10,5,1
telescoping-fixed,1.5,0.5,315992,11-20,5,2
telescoping-fixed,1.5,0.5,315992,21-35,1,0
telescoping-fixed,1.5,0.5,315992,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315992,1-5,5,1
campaign75-fixed-daily,1.5,0.5,315992,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315992,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315992,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315992,36-50,0,0
telescoping-fixed,1.5,0.5,315993,1-5,5,5
telescoping-fixed,1.5,0.5,315993,6-10,4,4
telescoping-fixed,1.5,0.5,315993,11-20,6,5
telescoping-fixed,1.5,0.5,315993,21-35,1,1
telescoping-fixed,1.5,0.5,315993,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315993,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315993,6-10,4,4
campaign75-fixed-daily,1.5,0.5,315993,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315993,21-35,1,1
campaign75-fixed-daily,1.5,0.5,315993,36-50,0,0
telescoping-fixed,1.5,0.5,315994,1-5,5,5
telescoping-fixed,1.5,0.5,315994,6-10,5,5
telescoping-fixed,1.5,0.5,315994,11-20,6,2
telescoping-fixed,1.5,0.5,315994,21-35,0,0
telescoping-fixed,1.5,0.5,315994,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315994,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315994,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315994,11-20,6,5
campaign75-fixed-daily,1.5,0.5,315994,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315994,36-50,0,0
telescoping-fixed,1.5,0.5,315995,1-5,5,5
telescoping-fixed,1.5,0.5,315995,6-10,5,4
telescoping-fixed,1.5,0.5,315995,11-20,5,2
telescoping-fixed,1.5,0.5,315995,21-35,0,0
telescoping-fixed,1.5,0.5,315995,36-50,1,0
campaign75-fixed-daily,1.5,0.5,315995,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315995,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315995,11-20,5,3
campaign75-fixed-daily,1.5,0.5,315995,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315995,36-50,1,0
telescoping-fixed,1.5,0.5,315996,1-5,5,5
telescoping-fixed,1.5,0.5,315996,6-10,5,1
telescoping-fixed,1.5,0.5,315996,11-20,5,0
telescoping-fixed,1.5,0.5,315996,21-35,1,0
telescoping-fixed,1.5,0.5,315996,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315996,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315996,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315996,11-20,5,2
campaign75-fixed-daily,1.5,0.5,315996,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315996,36-50,0,0
telescoping-fixed,1.5,0.5,315997,1-5,5,4
telescoping-fixed,1.5,0.5,315997,6-10,5,4
telescoping-fixed,1.5,0.5,315997,11-20,6,2
telescoping-fixed,1.5,0.5,315997,21-35,0,0
telescoping-fixed,1.5,0.5,315997,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315997,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315997,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315997,11-20,6,2
campaign75-fixed-daily,1.5,0.5,315997,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315997,36-50,0,0
telescoping-fixed,1.5,0.5,315998,1-5,5,5
telescoping-fixed,1.5,0.5,315998,6-10,5,4
telescoping-fixed,1.5,0.5,315998,11-20,6,4
telescoping-fixed,1.5,0.5,315998,21-35,0,0
telescoping-fixed,1.5,0.5,315998,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315998,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315998,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315998,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315998,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315998,36-50,0,0
telescoping-fixed,1.5,0.5,315999,1-5,5,5
telescoping-fixed,1.5,0.5,315999,6-10,5,5
telescoping-fixed,1.5,0.5,315999,11-20,6,0
telescoping-fixed,1.5,0.5,315999,21-35,0,0
telescoping-fixed,1.5,0.5,315999,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315999,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315999,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315999,11-20,6,2
campaign75-fixed-daily,1.5,0.5,315999,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315999,36-50,0,0
telescoping-fixed,1.5,0.5,316000,1-5,5,5
telescoping-fixed,1.5,0.5,316000,6-10,5,4
telescoping-fixed,1.5,0.5,316000,11-20,6,2
telescoping-fixed,1.5,0.5,316000,21-35,0,0
telescoping-fixed,1.5,0.5,316000,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316000,1-5,5,5
campaign75-fixed-daily,1.5,0.5,316000,6-10,5,4
campaign75-fixed-daily,1.5,0.5,316000,11-20,6,3
campaign75-fixed-daily,1.5,0.5,316000,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316000,36-50,0,0
telescoping-fixed,1.5,0.5,316001,1-5,5,4
telescoping-fixed,1.5,0.5,316001,6-10,5,2
telescoping-fixed,1.5,0.5,316001,11-20,6,2
telescoping-fixed,1.5,0.5,316001,21-35,0,0
telescoping-fixed,1.5,0.5,316001,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316001,1-5,5,4
campaign75-fixed-daily,1.5,0.5,316001,6-10,5,3
campaign75-fixed-daily,1.5,0.5,316001,11-20,6,5
campaign75-fixed-daily,1.5,0.5,316001,21-35,0,0
campaign75-fixed-daily,1.5,0.5,316001,36-50,0,0
telescoping-fixed,1.5,0.5,316002,1-5,5,4
telescoping-fixed,1.5,0.5,316002,6-10,5,3
telescoping-fixed,1.5,0.5,316002,11-20,5,3
telescoping-fixed,1.5,0.5,316002,21-35,1,0
telescoping-fixed,1.5,0.5,316002,36-50,0,0
campaign75-fixed-daily,1.5,0.5,316002,1-5,5,1
campaign75-fixed-daily,1.5,0.5,316002,6-10,5,3
campaign75-fixed-daily,1.5,0.5,316002,11-20,5,3
campaign75-fixed-daily,1.5,0.5,316002,21-35,1,0
campaign75-fixed-daily,1.5,0.5,316002,36-50,0,0
