design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,1.5,0.5,315918,21-35,0,0
telescoping-fixed,1.5,0.5,315918,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315918,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315918,6-10,4,4
campaign75-fixed-daily,1.5,0.5,315918,11-20,7,6
campaign75-fixed-daily,1.5,0.5,315918,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315918,36-50,0,0
telescoping-fixed,1.5,0.5,315919,1-5,5,2
telescoping-fixed,1.5,0.5,315919,6-10,5,1
telescoping-fixed,1.5,0.5,315919,11-20,4,0
telescoping-fixed,1.5,0.5,315919,21-35,2,0
telescoping-fixed,1.5,0.5,315919,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315919,1-5,5,1
campaign75-fixed-daily,1.5,0.5,315919,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315919,11-20,4,0
campaign75-fixed-daily,1.5,0.5,315919,21-35,2,0
campaign75-fixed-daily,1.5,0.5,315919,36-50,0,0
telescoping-fixed,1.5,0.5,315920,1-5,5,1
telescoping-fixed,1.5,0.5,315920,6-10,5,1
telescoping-fixed,1.5,0.5,315920,11-20,6,0
telescoping-fixed,1.5,0.5,315920,21-35,0,0
telescoping-fixed,1.5,0.5,315920,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315920,1-5,5,0
campaign75-fixed-daily,1.5,0.5,315920,6-10,5,1
campaign75-fixed-daily,1.5,0.5,315920,11-20,6,0
campaign75-fixed-daily,1.5,0.5,315920,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315920,36-50,0,0
telescoping-fixed,1.5,0.5,315921,1-5,5,5
telescoping-fixed,1.5,0.5,315921,6-10,5,5
telescoping-fixed,1.5,0.5,315921,11-20,6,4
telescoping-fixed,1.5,0.5,315921,21-35,0,0
telescoping-fixed,1.5,0.5,315921,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315921,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315921,6-10,5,5
