design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
campaign75-fixed,1.0,0.5,41000006,0.3333333333333333,1.0,1.0,1.0,24,562.5625,0.15789473684210525,1.0
campaign-hedged,1.0,0.5,41000006,0.11764705882352941,0.9375,0.9375,1.0,17,726.0,0.0625,0.9375
anchored25-fixed,1.0,0.5,41000006,0.11764705882352941,0.9375,0.9375,1.0,17,663.6666666666666,0.0625,0.9375
anchored50-fixed,1.0,0.5,41000006,0.16666666666666666,0.9375,0.9375,1.0,18,680.6666666666666,0.0625,0.9375
anchored75-fixed,1.0,0.5,41000006,0.21052631578947367,0.9375,0.9375,1.0,19,688.6666666666666,0.11764705882352941,0.9375
telescoping-fixed,1.0,0.5,41000007,0.0,0.375,0.375,1.0,6,1079.3333333333333,0.0,0.1875
telescoping-hedged,1.0,0.5,41000007,0.0,0.1875,0.1875,1.0,3,934.3333333333334,0.0,0.1875
campaign25-fixed,1.0,0.5,41000007,0.0,0.1875,0.1875,1.0,3,959.3333333333334,0.0,0.1875
campaign50-fixed,1.0,0.5,41000007,0.0,0.1875,0.1875,1.0,3,951.0,0.0,0.1875
campaign75-fixed,1.0,0.5,41000007,0.0,0.125,0.125,1.0,2,1011.0,0.0,0.125
campaign-hedged,1.0,0.5,41000007,0.0,0.1875,0.1875,1.0,3,1092.6666666666667,0.0,0.1875
anchored25-fixed,1.0,0.5,41000007,0.0,0.1875,0.1875,1.0,3,961.0,0.0,0.1875
anchored50-fixed,1.0,0.5,41000007,0.0,0.1875,0.1875,1.0,3,962.6666666666666,0.0,0.1875
anchored75-fixed,1.0,0.5,41000007,0.0,0.1875,0.1875,1.0,3,1097.6666666666667,0.0,0.1875
telescoping-fixed,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000008,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000009,0.0,0.5,0.5,1.0,8,466.625,0.0,0.3125
telescoping-hedged,1.0,0.5,41000009,0.0,0.375,0.375,1.0,6,522.6666666666666,0.0,0.1875
campaign25-fixed,1.0,0.5,41000009,0.0,0.5,0.5,1.0,8,447.25,0.0,0.375
campaign50-fixed,1.0,0.5,41000009,0.0,0.5625,0.5625,1.0,9,454.3333333333333,0.0,0.375
campaign75-fixed,1.0,0.5,41000009,0.0,0.625,0.625,1.0,10,509.0,0.0,0.375
campaign-hedged,1.0,0.5,41000009,0.0,0.4375,0.4375,1.0,7,517.4285714285714,0.0,0.375
anchored25-fixed,1.0,0.5,41000009,0.0,0.5,0.5,1.0,8,464.125,0.0,0.375
anchored50-fixed,1.0,0.5,41000009,0.0,0.4375,0.4375,1.0,7,435.2857142857143,0.0,0.375
anchored75-fixed,1.0,0.5,41000009,0.0,0.4375,0.4375,1.0,7,451.0,0.0,0.375
telescoping-fixed,1.0,0.5,41000010,0.0,0.0,0.0,0.9375,0,,0.0,0.0
