design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
campaign75-fixed,1.0,0.5,41000071,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000071,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000071,0.0,0.125,0.125,1.0,2,1081.0,0.0,0.125
anchored50-fixed,1.0,0.5,41000071,0.0,0.125,0.125,1.0,2,1081.0,0.0,0.0625
anchored75-fixed,1.0,0.5,41000071,0.0,0.125,0.125,1.0,2,1096.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000072,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000073,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000074,0.0,0.0625,0.0625,1.0,1,766.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000074,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000074,0.0,0.0625,0.0625,1.0,1,1001.0,0.0,0.0
campaign50-fixed,1.0,0.5,41000074,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000074,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000074,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000074,0.0,0.0625,0.0625,1.0,1,1001.0,0.0,0.0
anchored50-fixed,1.0,0.5,41000074,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000074,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000075,0.0,0.4375,0.4375,1.0,7,722.4285714285714,0.0,0.375
telescoping-hedged,1.0,0.5,41000075,0.0,0.4375,0.4375,1.0,7,986.7142857142857,0.0,0.25
campaign25-fixed,1.0,0.5,41000075,0.0,0.4375,0.4375,1.0,7,805.2857142857143,0.0,0.4375
campaign50-fixed,1.0,0.5,41000075,0.0,0.5625,0.5625,1.0,9,908.7777777777778,0.0,0.5
campaign75-fixed,1.0,0.5,41000075,0.0,0.625,0.625,1.0,10,904.0,0.0,0.5625
campaign-hedged,1.0,0.5,41000075,0.0,0.4375,0.4375,1.0,7,970.2857142857143,0.0,0.3125
anchored25-fixed,1.0,0.5,41000075,0.0,0.4375,0.4375,1.0,7,804.5714285714286,0.0,0.375
anchored50-fixed,1.0,0.5,41000075,0.0,0.4375,0.4375,1.0,7,808.1428571428571,0.0,0.3125
anchored75-fixed,1.0,0.5,41000075,0.0,0.4375,0.4375,1.0,7,831.7142857142857,0.0,0.3125
telescoping-fixed,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000076,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000077,0.0,0.1875,0.1875,1.0,3,606.0,0.0,0.1875
telescoping-hedged,1.0,0.5,41000077,0.0,0.25,0.25,1.0,4,864.75,0.0,0.1875
campaign25-fixed,1.0,0.5,41000077,0.0,0.1875,0.1875,1.0,3,611.0,0.0,0.1875
campaign50-fixed,1.0,0.5,41000077,0.0,0.1875,0.1875,1.0,3,631.0,0.0,0.1875
campaign75-fixed,1.0,0.5,41000077,0.0,0.25,0.25,1.0,4,787.25,0.0,0.25
campaign-hedged,1.0,0.5,41000077,0.0,0.1875,0.1875,1.0,3,996.0,0.0,0.1875
anchored25-fixed,1.0,0.5,41000077,0.0,0.1875,0.1875,1.0,3,667.6666666666666,0.0,0.1875
anchored50-fixed,1.0,0.5,41000077,0.0,0.1875,0.1875,1.0,3,669.3333333333334,0.0,0.1875
anchored75-fixed,1.0,0.5,41000077,0.0,0.1875,0.1875,1.0,3,862.0,0.0,0.1875
telescoping-fixed,1.0,0.5,41000078,0.0,0.0625,0.0625,1.0,1,1181.0,0.0,0.0625
telescoping-hedged,1.0,0.5,41000078,0.0,0.0625,0.0625,1.0,1,1181.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000078,0.0,0.0625,0.0625,1.0,1,1181.0,0.0,0.0625
campaign50-fixed,1.0,0.5,41000078,0.0,0.0625,0.0625,1.0,1,1186.0,0.0,0.0
campaign75-fixed,1.0,0.5,41000078,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000078,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000078,0.0,0.0625,0.0625,1.0,1,1181.0,0.0,0.0625
anchored50-fixed,1.0,0.5,41000078,0.0,0.0625,0.0625,1.0,1,1181.0,0.0,0.0625
anchored75-fixed,1.0,0.5,41000078,0.0,0.0625,0.0625,1.0,1,1181.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000079,0.0,0.4375,0.4375,1.0,7,532.4285714285714,0.0,0.1875
telescoping-hedged,1.0,0.5,41000079,0.0,0.25,0.25,1.0,4,728.5,0.0,0.125
campaign25-fixed,1.0,0.5,41000079,0.0,0.5,0.5,1.0,8,510.375,0.0,0.1875
campaign50-fixed,1.0,0.5,41000079,0.0,0.4375,0.4375,1.0,7,506.0,0.0,0.25
campaign75-fixed,1.0,0.5,41000079,0.0,0.4375,0.4375,1.0,7,528.1428571428571,0.0,0.25
campaign-hedged,1.0,0.5,41000079,0.0,0.1875,0.1875,1.0,3,826.0,0.0,0.125
anchored25-fixed,1.0,0.5,41000079,0.0,0.375,0.375,1.0,6,641.8333333333334,0.0,0.1875
anchored50-fixed,1.0,0.5,41000079,0.0,0.375,0.375,1.0,6,649.3333333333334,0.0,0.1875
anchored75-fixed,1.0,0.5,41000079,0.0,0.1875,0.1875,1.0,3,602.6666666666666,0.0,0.125
telescoping-fixed,1.0,0.5,41000080,0.0,0.25,0.25,1.0,4,1068.5,0.0,0.0
telescoping-hedged,1.0,0.5,41000080,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000080,0.0,0.1875,0.1875,1.0,3,1039.3333333333333,0.0,0.0
campaign50-fixed,1.0,0.5,41000080,0.0,0.375,0.375,1.0,6,1057.6666666666667,0.0,0.0
campaign75-fixed,1.0,0.5,41000080,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000080,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000080,0.0,0.1875,0.1875,1.0,3,1039.3333333333333,0.0,0.0
anchored50-fixed,1.0,0.5,41000080,0.0,0.1875,0.1875,1.0,3,1042.6666666666667,0.0,0.0
anchored75-fixed,1.0,0.5,41000080,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000081,0.0,0.4375,0.4666666666666667,0.9375,7,632.4285714285714,0.0,0.1875
telescoping-hedged,1.0,0.5,41000081,0.0,0.3125,0.3333333333333333,0.9375,5,649.0,0.0,0.1875
campaign25-fixed,1.0,0.5,41000081,0.0,0.5625,0.6,0.9375,9,621.0,0.0,0.1875
campaign50-fixed,1.0,0.5,41000081,0.0,0.5625,0.6,0.9375,9,598.2222222222222,0.0,0.1875
campaign75-fixed,1.0,0.5,41000081,0.0,0.6875,0.7333333333333333,0.9375,11,651.4545454545455,0.0,0.25
campaign-hedged,1.0,0.5,41000081,0.0,0.25,0.26666666666666666,0.9375,4,659.75,0.0,0.1875
anchored25-fixed,1.0,0.5,41000081,0.0,0.4375,0.4666666666666667,0.9375,7,644.5714285714286,0.0,0.1875
anchored50-fixed,1.0,0.5,41000081,0.0,0.4375,0.4666666666666667,0.9375,7,669.5714285714286,0.0,0.1875
anchored75-fixed,1.0,0.5,41000081,0.0,0.5,0.5333333333333333,0.9375,8,714.75,0.0,0.1875
telescoping-fixed,1.0,0.5,41000082,0.0,0.5,0.5,1.0,8,702.25,0.0,0.5
telescoping-hedged,1.0,0.5,41000082,0.0,0.3125,0.3125,1.0,5,622.0,0.0,0.25
campaign25-fixed,1.0,0.5,41000082,0.0,0.5625,0.5625,1.0,9,708.7777777777778,0.0,0.5625
campaign50-fixed,1.0,0.5,41000082,0.0,0.5625,0.5625,1.0,9,748.7777777777778,0.0,0.5625
campaign75-fixed,1.0,0.5,41000082,0.0,0.625,0.625,1.0,10,784.0,0.0,0.625
campaign-hedged,1.0,0.5,41000082,0.0,0.5625,0.5625,1.0,9,890.4444444444445,0.0,0.25
anchored25-fixed,1.0,0.5,41000082,0.0,0.5625,0.5625,1.0,9,781.0,0.0,0.5625
anchored50-fixed,1.0,0.5,41000082,0.0,0.5625,0.5625,1.0,9,783.2222222222222,0.0,0.5
anchored75-fixed,1.0,0.5,41000082,0.0,0.5625,0.5625,1.0,9,797.1111111111111,0.0,0.5
telescoping-fixed,1.0,0.5,41000083,0.0,0.1875,0.1875,1.0,3,761.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000083,0.0,0.125,0.125,1.0,2,938.5,0.0,0.0
campaign25-fixed,1.0,0.5,41000083,0.0,0.1875,0.1875,1.0,3,767.6666666666666,0.0,0.0
campaign50-fixed,1.0,0.5,41000083,0.0,0.1875,0.1875,1.0,3,782.6666666666666,0.0,0.0
campaign75-fixed,1.0,0.5,41000083,0.0,0.1875,0.1875,1.0,3,786.0,0.0,0.0
campaign-hedged,1.0,0.5,41000083,0.0,0.125,0.125,1.0,2,1076.0,0.0,0.0
anchored25-fixed,1.0,0.5,41000083,0.0,0.1875,0.1875,1.0,3,764.3333333333334,0.0,0.0
anchored50-fixed,1.0,0.5,41000083,0.0,0.1875,0.1875,1.0,3,764.3333333333334,0.0,0.0
anchored75-fixed,1.0,0.5,41000083,0.0,0.1875,0.1875,1.0,3,779.3333333333334,0.0,0.0
telescoping-fixed,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,468.5,0.0,0.0
telescoping-hedged,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,538.5,0.0,0.0
campaign25-fixed,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,471.0,0.0,0.0
campaign50-fixed,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,538.5,0.0,0.0
campaign75-fixed,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,568.5,0.0,0.0
campaign-hedged,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,573.5,0.0,0.0
anchored25-fixed,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,468.5,0.0,0.0
anchored50-fixed,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,493.5,0.0,0.0
anchored75-fixed,1.0,0.5,41000084,0.0,0.125,0.125,1.0,2,528.5,0.0,0.0
telescoping-fixed,1.0,0.5,41000085,0.0,0.0625,0.0625,1.0,1,611.0,0.0,0.0625
telescoping-hedged,1.0,0.5,41000085,0.0,0.0625,0.0625,1.0,1,1211.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000085,0.0,0.0625,0.0625,1.0,1,1191.0,0.0,0.0625
campaign50-fixed,1.0,0.5,41000085,0.0,0.0625,0.0625,1.0,1,1256.0,0.0,0.0625
campaign75-fixed,1.0,0.5,41000085,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000085,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000085,0.0,0.0625,0.0625,1.0,1,611.0,0.0,0.0625
anchored50-fixed,1.0,0.5,41000085,0.0,0.0625,0.0625,1.0,1,611.0,0.0,0.0625
anchored75-fixed,1.0,0.5,41000085,0.0,0.0625,0.0625,1.0,1,611.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000086,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000087,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000088,0.0,0.3125,0.3125,1.0,5,757.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000088,0.0,0.3125,0.3125,1.0,5,885.0,0.0,0.25
campaign25-fixed,1.0,0.5,41000088,0.0,0.25,0.25,1.0,4,646.0,0.0,0.125
campaign50-fixed,1.0,0.5,41000088,0.0,0.25,0.25,1.0,4,562.25,0.0,0.125
campaign75-fixed,1.0,0.5,41000088,0.0,0.25,0.25,1.0,4,504.75,0.0,0.125
campaign-hedged,1.0,0.5,41000088,0.0,0.25,0.25,1.0,4,701.0,0.0,0.1875
anchored25-fixed,1.0,0.5,41000088,0.0,0.25,0.25,1.0,4,669.75,0.0,0.125
anchored50-fixed,1.0,0.5,41000088,0.0,0.1875,0.1875,1.0,3,477.6666666666667,0.0,0.125
anchored75-fixed,1.0,0.5,41000088,0.0,0.1875,0.1875,1.0,3,477.6666666666667,0.0,0.125
telescoping-fixed,1.0,0.5,41000089,0.0,0.1875,0.1875,1.0,3,989.3333333333334,0.0,0.0
telescoping-hedged,1.0,0.5,41000089,0.0,0.1875,0.1875,1.0,3,1051.0,0.0,0.0
campaign25-fixed,1.0,0.5,41000089,0.0,0.1875,0.1875,1.0,3,997.6666666666666,0.0,0.0
campaign50-fixed,1.0,0.5,41000089,0.0,0.1875,0.1875,1.0,3,1019.3333333333334,0.0,0.0
campaign75-fixed,1.0,0.5,41000089,0.0,0.125,0.125,1.0,2,1043.5,0.0,0.0
campaign-hedged,1.0,0.5,41000089,0.0,0.1875,0.1875,1.0,3,1116.0,0.0,0.0
anchored25-fixed,1.0,0.5,41000089,0.0,0.1875,0.1875,1.0,3,1007.6666666666666,0.0,0.0
anchored50-fixed,1.0,0.5,41000089,0.0,0.1875,0.1875,1.0,3,1036.0,0.0,0.0
anchored75-fixed,1.0,0.5,41000089,0.0,0.0625,0.0625,1.0,1,996.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000090,0.125,0.4375,0.4666666666666667,0.9375,8,659.5714285714286,0.0,0.4375
telescoping-hedged,1.0,0.5,41000090,0.0,0.375,0.4,0.9375,6,667.6666666666666,0.0,0.375
campaign25-fixed,1.0,0.5,41000090,0.1111111111111111,0.5,0.5333333333333333,0.9375,9,636.0,0.0,0.4375
campaign50-fixed,1.0,0.5,41000090,0.07692307692307693,0.75,0.8,0.9375,13,716.0,0.0,0.4375
campaign75-fixed,1.0,0.5,41000090,0.07142857142857142,0.8125,0.8666666666666667,0.9375,14,716.0,0.0,0.4375
campaign-hedged,1.0,0.5,41000090,0.0,0.4375,0.4666666666666667,0.9375,7,731.0,0.0,0.4375
anchored25-fixed,1.0,0.5,41000090,0.125,0.4375,0.4666666666666667,0.9375,8,646.7142857142857,0.0,0.4375
anchored50-fixed,1.0,0.5,41000090,0.0,0.4375,0.4666666666666667,0.9375,7,601.7142857142857,0.0,0.4375
anchored75-fixed,1.0,0.5,41000090,0.0,0.4375,0.4666666666666667,0.9375,7,606.7142857142857,0.0,0.4375
telescoping-fixed,1.0,0.5,41000091,0.0,0.1875,0.2,0.9375,3,471.0,0.0,0.125
telescoping-hedged,1.0,0.5,41000091,0.0,0.0625,0.06666666666666667,0.9375,1,911.0,0.0,0.0625
campaign25-fixed,1.0,0.5,41000091,0.0,0.1875,0.2,0.9375,3,471.0,0.0,0.0625
campaign50-fixed,1.0,0.5,41000091,0.0,0.25,0.26666666666666666,0.9375,4,488.5,0.0,0.0625
campaign75-fixed,1.0,0.5,41000091,0.0,0.0625,0.06666666666666667,0.9375,1,906.0,0.0,0.0625
campaign-hedged,1.0,0.5,41000091,0.0,0.0625,0.06666666666666667,0.9375,1,1106.0,0.0,0.0625
anchored25-fixed,1.0,0.5,41000091,0.0,0.1875,0.2,0.9375,3,471.0,0.0,0.0625
anchored50-fixed,1.0,0.5,41000091,0.0,0.1875,0.2,0.9375,3,629.3333333333334,0.0,0.0625
anchored75-fixed,1.0,0.5,41000091,0.0,0.0625,0.06666666666666667,0.9375,1,911.0,0.0,0.0625
telescoping-fixed,1.0,0.5,41000092,0.0,0.0625,0.0625,1.0,1,456.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000092,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000092,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000092,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000092,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000092,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000092,0.0,0.0625,0.0625,1.0,1,456.0,0.0,0.0
anchored50-fixed,1.0,0.5,41000092,0.0,0.0625,0.0625,1.0,1,456.0,0.0,0.0
anchored75-fixed,1.0,0.5,41000092,0.0,0.0625,0.0625,1.0,1,456.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000093,0.0,0.0,0.0,0.9375,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000094,0.0,0.625,0.625,1.0,10,770.5,0.0,0.5
telescoping-hedged,1.0,0.5,41000094,0.0,0.1875,0.1875,1.0,3,804.3333333333334,0.0,0.1875
campaign25-fixed,1.0,0.5,41000094,0.0,0.6875,0.6875,1.0,11,747.3636363636364,0.0,0.5
campaign50-fixed,1.0,0.5,41000094,0.0,0.6875,0.6875,1.0,11,706.0,0.0,0.5
campaign75-fixed,1.0,0.5,41000094,0.0,0.5625,0.5625,1.0,9,729.8888888888889,0.0,0.5625
campaign-hedged,1.0,0.5,41000094,0.0,0.375,0.375,1.0,6,1011.8333333333334,0.0,0.25
anchored25-fixed,1.0,0.5,41000094,0.0,0.5625,0.5625,1.0,9,880.4444444444445,0.0,0.375
anchored50-fixed,1.0,0.5,41000094,0.0,0.625,0.625,1.0,10,901.0,0.0,0.375
anchored75-fixed,1.0,0.5,41000094,0.0,0.5625,0.5625,1.0,9,939.8888888888889,0.0,0.375
telescoping-fixed,1.0,0.5,41000095,0.0,0.375,0.375,1.0,6,336.8333333333333,0.0,0.1875
telescoping-hedged,1.0,0.5,41000095,0.0,0.3125,0.3125,1.0,5,453.0,0.0,0.25
campaign25-fixed,1.0,0.5,41000095,0.0,0.375,0.375,1.0,6,376.0,0.0,0.1875
campaign50-fixed,1.0,0.5,41000095,0.0,0.375,0.375,1.0,6,384.3333333333333,0.0,0.1875
campaign75-fixed,1.0,0.5,41000095,0.0,0.3125,0.3125,1.0,5,365.0,0.0,0.1875
campaign-hedged,1.0,0.5,41000095,0.0,0.25,0.25,1.0,4,466.0,0.0,0.1875
anchored25-fixed,1.0,0.5,41000095,0.0,0.375,0.375,1.0,6,392.6666666666667,0.0,0.1875
anchored50-fixed,1.0,0.5,41000095,0.0,0.3125,0.3125,1.0,5,377.0,0.0,0.1875
anchored75-fixed,1.0,0.5,41000095,0.0,0.3125,0.3125,1.0,5,399.0,0.0,0.1875
telescoping-fixed,1.0,0.5,41000096,0.0,0.125,0.125,1.0,2,473.5,0.0,0.0625
telescoping-hedged,1.0,0.5,41000096,0.0,0.125,0.125,1.0,2,713.5,0.0,0.125
campaign25-fixed,1.0,0.5,41000096,0.0,0.1875,0.1875,1.0,3,646.0,0.0,0.0625
campaign50-fixed,1.0,0.5,41000096,0.0,0.1875,0.1875,1.0,3,757.6666666666666,0.0,0.0625
campaign75-fixed,1.0,0.5,41000096,0.0,0.1875,0.1875,1.0,3,801.0,0.0,0.0
campaign-hedged,1.0,0.5,41000096,0.0,0.125,0.125,1.0,2,868.5,0.0,0.0
anchored25-fixed,1.0,0.5,41000096,0.0,0.125,0.125,1.0,2,493.5,0.0,0.0625
anchored50-fixed,1.0,0.5,41000096,0.0,0.125,0.125,1.0,2,573.5,0.0,0.0
anchored75-fixed,1.0,0.5,41000096,0.0,0.1875,0.1875,1.0,3,699.3333333333334,0.0,0.0
telescoping-fixed,1.0,0.5,41000097,0.0,0.5625,0.5625,1.0,9,683.2222222222222,0.0,0.5625
telescoping-hedged,1.0,0.5,41000097,0.0,0.4375,0.4375,1.0,7,686.0,0.0,0.375
campaign25-fixed,1.0,0.5,41000097,0.0,0.625,0.625,1.0,10,687.0,0.0,0.625
campaign50-fixed,1.0,0.5,41000097,0.0,0.875,0.875,1.0,14,660.6428571428571,0.0,0.625
campaign75-fixed,1.0,0.5,41000097,0.0,0.9375,0.9375,1.0,15,687.0,0.0,0.625
campaign-hedged,1.0,0.5,41000097,0.0,0.5625,0.5625,1.0,9,718.7777777777778,0.0,0.4375
anchored25-fixed,1.0,0.5,41000097,0.0,0.625,0.625,1.0,10,690.5,0.0,0.5
anchored50-fixed,1.0,0.5,41000097,0.0,0.625,0.625,1.0,10,693.5,0.0,0.625
anchored75-fixed,1.0,0.5,41000097,0.0,0.625,0.625,1.0,10,707.0,0.0,0.5
telescoping-fixed,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,961.0,0.0,0.25
telescoping-hedged,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,976.0,0.0,0.3125
campaign25-fixed,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,966.0,0.0,0.25
campaign50-fixed,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,969.0,0.0,0.25
campaign75-fixed,1.0,0.5,41000098,0.0,0.4375,0.4375,1.0,7,1001.0,0.0,0.25
campaign-hedged,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,1027.0,0.0,0.3125
anchored25-fixed,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,967.0,0.0,0.25
anchored50-fixed,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,978.0,0.0,0.25
anchored75-fixed,1.0,0.5,41000098,0.0,0.3125,0.3125,1.0,5,981.0,0.0,0.25
telescoping-fixed,1.0,0.5,41000099,0.0,0.0625,0.0625,1.0,1,1131.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000099,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000099,0.0,0.0625,0.0625,1.0,1,1131.0,0.0,0.0
campaign50-fixed,1.0,0.5,41000099,0.0,0.0625,0.0625,1.0,1,1131.0,0.0,0.0
campaign75-fixed,1.0,0.5,41000099,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000099,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000099,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000099,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000099,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.5,0.5,41000100,0.0,0.75,0.75,1.0,12,441.0,0.0,0.75
telescoping-hedged,1.5,0.5,41000100,0.0,0.75,0.75,1.0,12,508.0833333333333,0.0,0.75
campaign25-fixed,1.5,0.5,41000100,0.0,0.75,0.75,1.0,12,438.5,0.0,0.75
campaign50-fixed,1.5,0.5,41000100,0.0,0.75,0.75,1.0,12,433.0833333333333,0.0,0.75
campaign75-fixed,1.5,0.5,41000100,0.0,0.75,0.75,1.0,12,428.5,0.0,0.75
campaign-hedged,1.5,0.5,41000100,0.0,0.75,0.75,1.0,12,519.75,0.0,0.75
